"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia PALLASCA (000)",27147,4595,2301,485,19781
"Quechua (001)",84,2,27,9,48
"Aymara (002)",1,1,,,
"Asháninka (003)",5,1,1,1,2
"Otra lengua nativa (004)",49,4,5,,40
"Castellano (005)",26958,4581,2268,475,19647
"Idioma Extranjero (006)",4,,,,4
"Es Sordomudo/a (007)",46,6,,,40
"Hombres (009)",13740,2239,1236,384,9895
"Quechua (010)",51,1,20,3,29
"Aymara (011)",1,1,,,
"Asháninka (012)",3,,1,1,1
"Otra lengua nativa (013)",23,3,3,,17
"Castellano (014)",13629,2231,1212,380,9818
"Idioma Extranjero (015)",1,,,,1
"Es Sordomudo/a (016)",32,3,,,29
"Mujeres (018)",13407,2356,1065,101,9886
"Quechua (019)",33,1,7,6,19
"Asháninka (021)",2,1,,,1
"Otra lengua nativa (022)",26,1,2,,23
"Castellano (023)",13329,2350,1056,95,9829
"Idioma Extranjero (024)",3,,,,3
"Es Sordomudo/a (025)",14,3,,,11
,,,,,
"URBANA (027)",14162,2371,1804,304,9694
"Quechua (028)",62,2,23,9,30
"Aymara (029)",1,1,,,
"Asháninka (030)",4,,1,1,2
"Otra lengua nativa (031)",43,3,4,,36
"Castellano (032)",14023,2363,1776,294,9599
"Idioma Extranjero (033)",4,,,,4
"Es Sordomudo/a (034)",25,2,,,23
"Hombres (036)",7093,1155,960,227,4761
"Quechua (037)",36,1,17,3,17
"Aymara (038)",1,1,,,
"Asháninka (039)",3,,1,1,1
"Otra lengua nativa (040)",21,2,3,,16
"Castellano (041)",7010,1149,939,223,4707
"Idioma Extranjero (042)",1,,,,1
"Es Sordomudo/a (043)",21,2,,,19
"Mujeres (045)",7069,1216,844,77,4933
"Quechua (046)",26,1,6,6,13
"Asháninka (048)",1,,,,1
"Otra lengua nativa (049)",22,1,1,,20
"Castellano (050)",7013,1214,837,71,4892
"Idioma Extranjero (051)",3,,,,3
"Es Sordomudo/a (052)",4,,,,4
,,,,,
"RURAL (054)",12985,2224,497,181,10087
"Quechua (055)",22,,4,,18
"Asháninka (057)",1,1,,,
"Otra lengua nativa (058)",6,1,1,,4
"Castellano (059)",12935,2218,492,181,10048
"Es Sordomudo/a (061)",21,4,,,17
"Hombres (063)",6647,1084,276,157,5134
"Quechua (064)",15,,3,,12
"Otra lengua nativa (067)",2,1,,,1
"Castellano (068)",6619,1082,273,157,5111
"Es Sordomudo/a (070)",11,1,,,10
"Mujeres (072)",6338,1140,221,24,4953
"Quechua (073)",7,,1,,6
"Asháninka (075)",1,1,,,
"Otra lengua nativa (076)",4,,1,,3
"Castellano (077)",6316,1136,219,24,4937
"Es Sordomudo/a (079)",10,3,,,7
