"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia ISLAY (000)",21271,13331,3216,2769,1955
"Empleado (001)",4645,1715,693,982,1255
"Obrero (002)",7547,3281,1860,1718,688
"Trabajador independiente (003)",7268,6753,515,,
"Empleador o patrono (004)",512,382,77,47,6
"Trabajador familiar no remunerado (005)",921,822,71,22,6
"Trabajador del hogar (006)",378,378,,,
"De 06 a 14 años (008)",138,105,26,6,1
"Empleado (009)",8,4,1,3,
"Obrero (010)",43,25,16,2,
"Trabajador independiente (011)",13,11,2,,
"Trabajador familiar no remunerado (013)",60,51,7,1,1
"Trabajador del hogar (014)",14,14,,,
"De 15 a 29 años (016)",5648,3291,1097,818,442
"Empleado (017)",1331,666,224,200,241
"Obrero (018)",2525,1030,697,602,196
"Trabajador independiente (019)",1303,1166,137,,
"Empleador o patrono (020)",56,39,9,5,3
"Trabajador familiar no remunerado (021)",281,238,30,11,2
"Trabajador del hogar (022)",152,152,,,
"De 30 a 44 años (024)",8021,4674,1246,1242,859
"Empleado (025)",2053,646,321,521,565
"Obrero (026)",2888,1221,679,699,289
"Trabajador independiente (027)",2515,2301,214,,
"Empleador o patrono (028)",157,114,21,19,3
"Trabajador familiar no remunerado (029)",282,266,11,3,2
"Trabajador del hogar (030)",126,126,,,
"De 45 a 64 años (032)",6110,4079,754,653,624
"Empleado (033)",1170,364,130,245,431
"Obrero (034)",1866,862,427,385,192
"Trabajador independiente (035)",2564,2424,140,,
"Empleador o patrono (036)",218,160,39,19,
"Trabajador familiar no remunerado (037)",214,191,18,4,1
"Trabajador del hogar (038)",78,78,,,
"De 65 y más años (040)",1354,1182,93,50,29
"Empleado (041)",83,35,17,13,18
"Obrero (042)",225,143,41,30,11
"Trabajador independiente (043)",873,851,22,,
"Empleador o patrono (044)",81,69,8,4,
"Trabajador familiar no remunerado (045)",84,76,5,3,
"Trabajador del hogar (046)",8,8,,,
,,,,,
"URBANA (048)",18750,11902,2833,2328,1687
"Empleado (049)",4405,1660,676,939,1130
"Obrero (050)",6096,2664,1560,1326,546
"Trabajador independiente (051)",6777,6299,478,,
"Empleador o patrono (052)",372,266,57,43,6
"Trabajador familiar no remunerado (053)",731,644,62,20,5
"Trabajador del hogar (054)",369,369,,,
