"CUADRO Nº 18: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE SERVICIO HIGIÉNICO QUE TIENE LA VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y TIPO DE SERVICIO HIGIÉNICO QUE TIENE LA VIVIENDA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia ANDAHUAYLAS (000)",35330,21873,13457
"Red pública de desague dentro de la vivienda (001)",7851,7388,463
"Red pública de desague fuera de la vivienda (002)",2159,1918,241
"Pozo séptico (003)",1689,1044,645
"Pozo ciego o negro / letrina (004)",16710,8976,7734
"Río, acequia o canal (005)",252,136,116
"No tiene (006)",6669,2411,4258
,,,
"URBANA (008)",15527,12799,2728
"Red pública de desague dentro de la vivienda (009)",7502,7111,391
"Red pública de desague fuera de la vivienda (010)",1971,1789,182
"Pozo séptico (011)",702,495,207
"Pozo ciego o negro / letrina (012)",3389,2355,1034
"Río, acequia o canal (013)",94,64,30
"No tiene (014)",1869,985,884
,,,
"RURAL (016)",19803,9074,10729
"Red pública de desague dentro de la vivienda (017)",349,277,72
"Red pública de desague fuera de la vivienda (018)",188,129,59
"Pozo séptico (019)",987,549,438
"Pozo ciego o negro / letrina (020)",13321,6621,6700
"Río, acequia o canal (021)",158,72,86
"No tiene (022)",4800,1426,3374
