"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia CELENDIN (000)",22834,309,9138,7502,2120,680,324,128,16,,2617
"Catolica (001)",16768,234,6621,5485,1623,520,251,89,13,,1932
"Cristiana / Evangelica (002)",4335,53,1797,1417,385,110,52,27,2,,492
"Otra (003)",1169,11,485,413,76,32,14,10,,,128
"Ninguna (004)",562,11,235,187,36,18,7,2,1,,65
,,,,,,,,,,,
"URBANA (006)",6153,63,2075,2036,761,273,141,50,6,,748
"Catolica (007)",4880,52,1606,1616,618,228,116,39,5,,600
"Cristiana / Evangelica (008)",877,4,317,293,107,31,14,8,1,,102
"Otra (009)",292,3,108,96,27,12,7,2,,,37
"Ninguna (010)",104,4,44,31,9,2,4,1,,,9
,,,,,,,,,,,
"RURAL (012)",16681,246,7063,5466,1359,407,183,78,10,,1869
"Catolica (013)",11888,182,5015,3869,1005,292,135,50,8,,1332
"Cristiana / Evangelica (014)",3458,49,1480,1124,278,79,38,19,1,,390
"Otra (015)",877,8,377,317,49,20,7,8,,,91
"Ninguna (016)",458,7,191,156,27,16,3,1,1,,56
