"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia TAYACAJA (000)",36250,113518,99920,,1855,88,1.6
"De 12 a 14 años (001)",4403,16,16,,2,100,12.5
"De 15 a 19 años (002)",4908,883,869,247,98.4,28,
"De 20 a 24 años (003)",3995,4334,4204,477,97,11,
"De 25 a 29 años (004)",3556,7497,7194,402,96,5.4,
"De 30 a 34 años (005)",3141,9879,9285,326,94,3.3,
"De 35 a 39 años (006)",3069,12795,11761,233,91.9,1.8,
"De 40 a 44 años (007)",2691,14223,12912,129,90.8,0.9,
"De 45 a 49 años (008)",2323,13621,12156,39,89.2,0.3,
"De 50 y más años (009)",8164,50270,41523,,82.6,,
"PEA (010)",9304,31546,28196,461,89.4,1.5,
"De 12 a 14 años (011)",189,3,3,,100,,
"De 15 a 19 años (012)",802,197,194,47,98.5,23.9,
"De 20 a 24 años (013)",1236,1117,1078,111,96.5,9.9,
"De 25 a 29 años (014)",1189,2081,2001,104,96.2,5,
"De 30 a 34 años (015)",1072,2887,2716,92,94.1,3.2,
"De 35 a 39 años (016)",1070,3914,3651,59,93.3,1.5,
"De 40 a 44 años (017)",955,4684,4290,40,91.6,0.9,
"De 45 a 49 años (018)",785,4307,3831,8,88.9,0.2,
"De 50 y más años (019)",2006,12356,10432,,84.4,,
"Ocupada (020)",9030,31080,27789,449,89.4,1.4,
"De 12 a 14 años (021)",179,3,3,,100,,
"De 15 a 19 años (022)",754,188,185,44,98.4,23.4,
"De 20 a 24 años (023)",1164,1092,1053,108,96.4,9.9,
"De 25 a 29 años (024)",1141,2027,1949,100,96.2,4.9,
"De 30 a 34 años (025)",1046,2830,2660,91,94,3.2,
"De 35 a 39 años (026)",1047,3854,3594,58,93.3,1.5,
"De 40 a 44 años (027)",944,4622,4236,40,91.6,0.9,
"De 45 a 49 años (028)",776,4266,3795,8,89,0.2,
"De 50 y más años (029)",1979,12198,10314,,84.6,,
"Desocupada (030)",274,466,407,12,87.3,2.6,
"De 12 a 14 años (031)",10,,,,,,
"De 15 a 19 años (032)",48,9,9,3,100,33.3,
"De 20 a 24 años (033)",72,25,25,3,100,12,
"De 25 a 29 años (034)",48,54,52,4,96.3,7.4,
"De 30 a 34 años (035)",26,57,56,1,98.2,1.8,
"De 35 a 39 años (036)",23,60,57,1,95,1.7,
