"CUADRO Nº 6: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR PERSONAS QUE PERTENECÍAN AL HOGAR Y AHORA VIVEN PERMANENTEMENTE EN OTRO PAÍS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE PERSONAS QUE VIVEN PERMANENTEMENTE EN OTRO PAÍS",,,,,,,NINGUNA
,,1,2,3,4,5,6,"7 Y MÁS",
,,,,,,,,,
"Provincia CALCA",,,,,,,,,
"Hogares (001)",16568,528,249,184,154,105,100,48,15200
"Ocupantes presentes (002)",64469,1734,743,551,607,490,511,302,59531
"Casa independiente",,,,,,,,,
"Hogares (004)",14562,475,227,164,135,89,90,45,13337
"Ocupantes presentes (005)",56859,1585,686,489,530,406,461,283,52419
"Departamento en edificio",,,,,,,,,
"Hogares (007)",24,,2,,,,,,22
"Ocupantes presentes (008)",64,,4,,,,,,60
"Vivienda en quinta",,,,,,,,,
"Hogares (010)",39,4,1,2,,1,1,,30
"Ocupantes presentes (011)",157,21,4,9,,5,3,,115
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (013)",465,20,5,5,3,5,2,,425
"Ocupantes presentes (014)",1403,60,13,14,13,29,11,,1263
"Choza o cabaña",,,,,,,,,
"Hogares (016)",1439,27,14,13,16,10,6,3,1350
"Ocupantes presentes (017)",5871,56,36,39,64,50,34,19,5573
"Vivienda improvisada",,,,,,,,,
"Hogares (019)",18,,,,,,,,18
"Ocupantes presentes (020)",49,,,,,,,,49
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (022)",19,2,,,,,1,,16
"Ocupantes presentes (023)",58,12,,,,,2,,44
"Otro tipo",,,,,,,,,
"Hogares (025)",2,,,,,,,,2
"Ocupantes presentes (026)",8,,,,,,,,8
,,,,,,,,,
URBANA,,,,,,,,,
"Hogares (028)",5978,303,158,111,83,71,54,27,5171
"Ocupantes presentes (029)",22287,1045,497,333,303,324,279,150,19356
"Casa independiente",,,,,,,,,
"Hogares (031)",5417,277,150,104,80,65,50,27,4664
"Ocupantes presentes (032)",20570,952,476,310,290,290,263,150,17839
"Departamento en edificio",,,,,,,,,
"Hogares (034)",24,,2,,,,,,22
"Ocupantes presentes (035)",64,,4,,,,,,60
"Vivienda en quinta",,,,,,,,,
"Hogares (037)",39,4,1,2,,1,1,,30
"Ocupantes presentes (038)",157,21,4,9,,5,3,,115
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (040)",465,20,5,5,3,5,2,,425
"Ocupantes presentes (041)",1403,60,13,14,13,29,11,,1263
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Hogares (046)",18,,,,,,,,18
"Ocupantes presentes (047)",49,,,,,,,,49
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (049)",14,2,,,,,1,,11
"Ocupantes presentes (050)",41,12,,,,,2,,27
"Otro tipo",,,,,,,,,
"Hogares (052)",1,,,,,,,,1
"Ocupantes presentes (053)",3,,,,,,,,3
,,,,,,,,,
RURAL,,,,,,,,,
"Hogares (055)",10590,225,91,73,71,34,46,21,10029
"Ocupantes presentes (056)",42182,689,246,218,304,166,232,152,40175
"Casa independiente",,,,,,,,,
"Hogares (058)",9145,198,77,60,55,24,40,18,8673
"Ocupantes presentes (059)",36289,633,210,179,240,116,198,133,34580
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Hogares (070)",1439,27,14,13,16,10,6,3,1350
"Ocupantes presentes (071)",5871,56,36,39,64,50,34,19,5573
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (076)",5,,,,,,,,5
"Ocupantes presentes (077)",17,,,,,,,,17
"Otro tipo",,,,,,,,,
"Hogares (079)",1,,,,,,,,1
"Ocupantes presentes (080)",5,,,,,,,,5
