"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia PACHITEA (000)",16666,15406,837,187,236
"Sin nivel (001)",3374,3240,120,12,2
"Educación inicial (002)",49,46,3,,
"Primaria (003)",10190,9627,480,61,22
"Secundaria (004)",2260,2044,144,27,45
"Superior no univ. incompleta (005)",129,102,5,11,11
"Superior no univ. completa (006)",177,87,25,22,43
"Superior univ. incompleta (007)",122,87,8,3,24
"Superior univ. completa (008)",365,173,52,51,89
"De 06 a 14 años (010)",425,392,28,5,
"Sin nivel (011)",80,75,5,,
"Educación inicial (012)",4,4,,,
"Primaria (013)",315,289,22,4,
"Secundaria (014)",26,24,1,1,
"De 15 a 29 años (020)",6607,6027,415,71,94
"Sin nivel (021)",680,646,29,3,2
"Educación inicial (022)",34,31,3,,
"Primaria (023)",4092,3816,240,30,6
"Secundaria (024)",1469,1328,107,17,17
"Superior no univ. incompleta (025)",80,65,3,5,7
"Superior no univ. completa (026)",72,37,6,5,24
"Superior univ. incompleta (027)",48,38,3,2,5
"Superior univ. completa (028)",132,66,24,9,33
"De 30 a 44 años (030)",5148,4725,249,71,103
"Sin nivel (031)",986,936,47,3,
"Educación inicial (032)",11,11,,,
"Primaria (033)",3248,3095,128,17,8
"Secundaria (034)",563,508,32,5,18
"Superior no univ. incompleta (035)",33,25,2,4,2
"Superior no univ. completa (036)",85,40,16,14,15
"Superior univ. incompleta (037)",49,32,3,,14
"Superior univ. completa (038)",173,78,21,28,46
"De 45 a 64 años (040)",3389,3190,124,37,38
"Sin nivel (041)",1095,1059,31,5,
"Primaria (043)",1988,1896,77,8,7
"Secundaria (044)",192,174,4,4,10
"Superior no univ. incompleta (045)",15,11,,2,2
"Superior no univ. completa (046)",18,8,3,3,4
"Superior univ. incompleta (047)",24,16,2,1,5
"Superior univ. completa (048)",57,26,7,14,10
"De 65 y más años (050)",1097,1072,21,3,1
"Sin nivel (051)",533,524,8,1,
"Primaria (053)",547,531,13,2,1
"Secundaria (054)",10,10,,,
"Superior no univ. incompleta (055)",1,1,,,
"Superior no univ. completa (056)",2,2,,,
"Superior univ. incompleta (057)",1,1,,,
"Superior univ. completa (058)",3,3,,,
,,,,,
"URBANA (060)",2579,2143,159,104,173
