"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia TAYACAJA (000)",53938,8229,18642,13852,13215
"Asiste actualmente (001)",36672,2982,17579,12365,3746
"No asiste (002)",17266,5247,1063,1487,9469
"Hombres (004)",27312,4089,9462,7086,6675
"Asiste actualmente (005)",19097,1485,8909,6493,2210
"No asiste (006)",8215,2604,553,593,4465
"Mujeres (008)",26626,4140,9180,6766,6540
"Asiste actualmente (009)",17575,1497,8670,5872,1536
"No asiste (010)",9051,2643,510,894,5004
,,,,,
"URBANA (012)",12772,1725,4093,3546,3408
"Asiste actualmente (013)",9248,717,3863,3262,1406
"No asiste (014)",3524,1008,230,284,2002
"Hombres (016)",6528,841,2062,1817,1808
"Asiste actualmente (017)",4785,319,1938,1710,818
"No asiste (018)",1743,522,124,107,990
"Mujeres (020)",6244,884,2031,1729,1600
"Asiste actualmente (021)",4463,398,1925,1552,588
"No asiste (022)",1781,486,106,177,1012
,,,,,
"RURAL (024)",41166,6504,14549,10306,9807
"Asiste actualmente (025)",27424,2265,13716,9103,2340
"No asiste (026)",13742,4239,833,1203,7467
"Hombres (028)",20784,3248,7400,5269,4867
"Asiste actualmente (029)",14312,1166,6971,4783,1392
"No asiste (030)",6472,2082,429,486,3475
"Mujeres (032)",20382,3256,7149,5037,4940
"Asiste actualmente (033)",13112,1099,6745,4320,948
"No asiste (034)",7270,2157,404,717,3992
