"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia PUNO (000)",93680,69421,6393,5561,12305
"Empleado (001)",24040,5089,3125,4588,11238
"Obrero (002)",8319,5584,923,825,987
"Trabajador independiente (003)",42072,40510,1562,,
"Empleador o patrono (004)",1096,827,160,74,35
"Trabajador familiar no remunerado (005)",17123,16381,623,74,45
"Trabajador del hogar (006)",1030,1030,,,
"De 06 a 14 años (008)",1181,1071,95,13,2
"Empleado (009)",83,72,9,1,1
"Obrero (010)",73,61,8,4,
"Trabajador independiente (011)",195,189,6,,
"Trabajador familiar no remunerado (013)",786,705,72,8,1
"Trabajador del hogar (014)",44,44,,,
"De 15 a 29 años (016)",26025,19900,2153,1419,2553
"Empleado (017)",6653,2400,947,1072,2234
"Obrero (018)",2997,2004,399,300,294
"Trabajador independiente (019)",9901,9390,511,,
"Empleador o patrono (020)",254,193,32,21,8
"Trabajador familiar no remunerado (021)",5611,5304,264,26,17
"Trabajador del hogar (022)",609,609,,,
"De 30 a 44 años (024)",32374,21760,2555,2590,5469
"Empleado (025)",10394,1761,1424,2213,4996
"Obrero (026)",2931,1834,316,333,448
"Trabajador independiente (027)",14158,13565,593,,
"Empleador o patrono (028)",431,330,59,27,15
"Trabajador familiar no remunerado (029)",4233,4043,163,17,10
"Trabajador del hogar (030)",227,227,,,
"De 45 a 64 años (032)",25827,18781,1452,1459,4135
"Empleado (033)",6660,796,714,1257,3893
"Obrero (034)",1889,1315,186,164,224
"Trabajador independiente (035)",12613,12217,396,,
"Empleador o patrono (036)",341,257,53,21,10
"Trabajador familiar no remunerado (037)",4192,4064,103,17,8
"Trabajador del hogar (038)",132,132,,,
"De 65 y más años (040)",8273,7909,138,80,146
"Empleado (041)",250,60,31,45,114
"Obrero (042)",429,370,14,24,21
"Trabajador independiente (043)",5205,5149,56,,
"Empleador o patrono (044)",70,47,16,5,2
"Trabajador familiar no remunerado (045)",2301,2265,21,6,9
"Trabajador del hogar (046)",18,18,,,
,,,,,
"URBANA (048)",53800,32490,4868,5231,11211
"Empleado (049)",22732,4816,2965,4483,10468
"Obrero (050)",5066,3181,568,636,681
"Trabajador independiente (051)",20819,19787,1032,,
"Empleador o patrono (052)",916,685,137,66,28
