"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia AMBO (000)",55483,960,19817,13363,9605,7825,3913
"Hombres (001)",27878,515,10127,6670,4725,3892,1949
"Mujeres (002)",27605,445,9690,6693,4880,3933,1964
"Viviendas particulares (003)",55095,958,19798,13228,9468,7745,3898
"Hombres (004)",27602,513,10122,6583,4623,3823,1938
"Mujeres (005)",27493,445,9676,6645,4845,3922,1960
"Viviendas colectivas (006)",114,1,12,44,38,15,4
"Hombres (007)",58,1,4,20,19,12,2
"Mujeres (008)",56,,8,24,19,3,2
"Otro tipo (009)",274,1,7,91,99,65,11
"Hombres (010)",218,1,1,67,83,57,9
"Mujeres (011)",56,,6,24,16,8,2
,,,,,,,
"URBANA (012)",18453,324,5846,4673,3394,2831,1385
"Hombres (013)",9111,153,3008,2265,1623,1398,664
"Mujeres (014)",9342,171,2838,2408,1771,1433,721
"Viviendas particulares (015)",18087,323,5833,4545,3263,2753,1370
"Hombres (016)",8844,152,3005,2181,1522,1331,653
"Mujeres (017)",9243,171,2828,2364,1741,1422,717
"Viviendas colectivas (018)",92,,6,37,32,13,4
"Hombres (019)",49,,2,17,18,10,2
"Mujeres (020)",43,,4,20,14,3,2
"Otro tipo (021)",274,1,7,91,99,65,11
"Hombres (022)",218,1,1,67,83,57,9
"Mujeres (023)",56,,6,24,16,8,2
,,,,,,,
"RURAL (024)",37030,636,13971,8690,6211,4994,2528
"Hombres (025)",18767,362,7119,4405,3102,2494,1285
"Mujeres (026)",18263,274,6852,4285,3109,2500,1243
"Viviendas particulares (027)",37008,635,13965,8683,6205,4992,2528
"Hombres (028)",18758,361,7117,4402,3101,2492,1285
"Mujeres (029)",18250,274,6848,4281,3104,2500,1243
"Viviendas colectivas (030)",22,1,6,7,6,2,
"Hombres (031)",9,1,2,3,1,2,
"Mujeres (032)",13,,4,4,5,,
