"CUADRO Nº 39: POBLACIÓN ECONÓMICAMENTE INACTIVA DE 6 Y MÁS AÑOS , POR ACTIVIDAD NO LABORAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"ACTIVIDAD NO LABORAL",,,,,,,,
,,"ESTUDIANDO Y NO TRABAJO","VIVIENDO DE SU PENSIÓN Y JUBILACIÓN","VIVIENDO DE SUS RENTAS","AL CUIDADO DE SU HOGAR","POR SU EDAD","DE VIAJE",DISCAPACITADO,"SERVICIO MILITAR",OTRA
,,,,,,,,,,
"Provincia CELENDIN (000)",50874,23569,325,727,23951,972,39,131,2,1158
"Hombres (001)",18091,12319,193,393,4015,481,32,72,2,584
"Mujeres (002)",32783,11250,132,334,19936,491,7,59,,574
"De 06 a 14 años (003)",20241,18476,,,921,373,1,16,,454
"Hombres (004)",10096,9453,,,267,185,1,9,,181
"Mujeres (005)",10145,9023,,,654,188,,7,,273
"De 15 a 29 años (006)",13695,4967,5,235,8138,,13,27,2,308
"Hombres (007)",4416,2803,,121,1309,,11,12,2,158
"Mujeres (008)",9279,2164,5,114,6829,,2,15,,150
"De 30 a 44 años (009)",6923,84,14,154,6507,,15,31,,118
"Hombres (010)",1164,42,6,82,927,,13,19,,75
"Mujeres (011)",5759,42,8,72,5580,,2,12,,43
"De 45 a 64 años (012)",5789,30,115,165,5277,19,6,27,,150
"Hombres (013)",1130,17,74,87,830,12,5,12,,93
"Mujeres (014)",4659,13,41,78,4447,7,1,15,,57
"De 65 y más años (015)",4226,12,191,173,3108,580,4,30,,128
"Hombres (016)",1285,4,113,103,682,284,2,20,,77
"Mujeres (017)",2941,8,78,70,2426,296,2,10,,51
,,,,,,,,,,
"AREA URBANA (018)",11929,6363,283,172,4624,197,6,15,2,267
"Hombres (019)",4690,3173,165,87,1003,104,6,6,2,144
"Mujeres (020)",7239,3190,118,85,3621,93,,9,,123
"De 06 a 14 años (021)",4302,4122,,,110,29,,2,,39
"Hombres (022)",2157,2078,,,50,15,,,,14
"Mujeres (023)",2145,2044,,,60,14,,2,,25
"De 15 a 29 años (024)",3622,2186,,21,1333,,3,1,2,76
"Hombres (025)",1413,1067,,7,288,,3,1,2,45
"Mujeres (026)",2209,1119,,14,1045,,,,,31
"De 30 a 44 años (027)",1301,35,11,23,1185,,,2,,45
"Hombres (028)",253,18,5,9,198,,,,,23
"Mujeres (029)",1048,17,6,14,987,,,2,,22
"De 45 a 64 años (030)",1359,15,106,52,1123,2,2,5,,54
"Hombres (031)",354,9,66,26,217,1,2,3,,30
"Mujeres (032)",1005,6,40,26,906,1,,2,,24
"De 65 y más años (033)",1345,5,166,76,873,166,1,5,,53
"Hombres (034)",513,1,94,45,250,88,1,2,,32
"Mujeres (035)",832,4,72,31,623,78,,3,,21
,,,,,,,,,,
"AREA RURAL (036)",38945,17206,42,555,19327,775,33,116,,891
"Hombres (037)",13401,9146,28,306,3012,377,26,66,,440
"Mujeres (038)",25544,8060,14,249,16315,398,7,50,,451
"De 06 a 14 años (039)",15939,14354,,,811,344,1,14,,415
"Hombres (040)",7939,7375,,,217,170,1,9,,167
"Mujeres (041)",8000,6979,,,594,174,,5,,248
"De 15 a 29 años (042)",10073,2781,5,214,6805,,10,26,,232
"Hombres (043)",3003,1736,,114,1021,,8,11,,113
"Mujeres (044)",7070,1045,5,100,5784,,2,15,,119
"De 30 a 44 años (045)",5622,49,3,131,5322,,15,29,,73
"Hombres (046)",911,24,1,73,729,,13,19,,52
"Mujeres (047)",4711,25,2,58,4593,,2,10,,21
"De 45 a 64 años (048)",4430,15,9,113,4154,17,4,22,,96
"Hombres (049)",776,8,8,61,613,11,3,9,,63
"Mujeres (050)",3654,7,1,52,3541,6,1,13,,33
"De 65 y más años (051)",2881,7,25,97,2235,414,3,25,,75
"Hombres (052)",772,3,19,58,432,196,1,18,,45
"Mujeres (053)",2109,4,6,39,1803,218,2,7,,30
