"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia TARMA (000)",106217,11780,10248,2549,81747
"Quechua (001)",5657,430,345,78,4806
"Aymara (002)",24,2,3,3,17
"Asháninka (003)",9,1,1,,7
"Otra lengua nativa (004)",57,4,1,3,50
"Castellano (005)",100309,11332,9892,2462,76726
"Idioma Extranjero (006)",11,,1,3,7
"Es Sordomudo/a (007)",150,11,5,,134
"Hombres (009)",52113,5624,5098,1478,39982
"Quechua (010)",2542,192,182,40,2129
"Aymara (011)",12,1,1,2,8
"Asháninka (012)",4,,1,,3
"Otra lengua nativa (013)",30,2,1,3,25
"Castellano (014)",49433,5421,4910,1432,37737
"Idioma Extranjero (015)",7,,,1,6
"Es Sordomudo/a (016)",85,8,3,,74
"Mujeres (018)",54104,6156,5150,1071,41765
"Quechua (019)",3115,238,163,38,2677
"Aymara (020)",12,1,2,1,9
"Asháninka (021)",5,1,,,4
"Otra lengua nativa (022)",27,2,,,25
"Castellano (023)",50876,5911,4982,1030,38989
"Idioma Extranjero (024)",4,,1,2,1
"Es Sordomudo/a (025)",65,3,2,,60
,,,,,
"URBANA (027)",68807,6411,9119,2215,51146
"Quechua (028)",2795,140,275,55,2327
"Aymara (029)",19,2,3,3,12
"Asháninka (030)",9,1,1,,7
"Otra lengua nativa (031)",52,2,,2,48
"Castellano (032)",65854,6260,8834,2152,48689
"Idioma Extranjero (033)",11,,1,3,7
"Es Sordomudo/a (034)",67,6,5,,56
"Hombres (036)",33381,3046,4452,1274,24663
"Quechua (037)",1234,57,143,30,1005
"Aymara (038)",11,1,1,2,7
"Asháninka (039)",4,,1,,3
"Otra lengua nativa (040)",28,1,,2,25
"Castellano (041)",32058,2982,4304,1239,23586
"Idioma Extranjero (042)",7,,,1,6
"Es Sordomudo/a (043)",39,5,3,,31
"Mujeres (045)",35426,3365,4667,941,26483
"Quechua (046)",1561,83,132,25,1322
"Aymara (047)",8,1,2,1,5
"Asháninka (048)",5,1,,,4
"Otra lengua nativa (049)",24,1,,,23
"Castellano (050)",33796,3278,4530,913,25103
"Idioma Extranjero (051)",4,,1,2,1
"Es Sordomudo/a (052)",28,1,2,,25
,,,,,
"RURAL (054)",37410,5369,1129,334,30601
"Quechua (055)",2862,290,70,23,2479
"Aymara (056)",5,,,,5
"Otra lengua nativa (058)",5,2,1,1,2
"Castellano (059)",34455,5072,1058,310,28037
"Es Sordomudo/a (061)",83,5,,,78
"Hombres (063)",18732,2578,646,204,15319
"Quechua (064)",1308,135,39,10,1124
"Aymara (065)",1,,,,1
"Otra lengua nativa (067)",2,1,1,1,
"Castellano (068)",17375,2439,606,193,14151
"Es Sordomudo/a (070)",46,3,,,43
"Mujeres (072)",18678,2791,483,130,15282
"Quechua (073)",1554,155,31,13,1355
"Aymara (074)",4,,,,4
"Otra lengua nativa (076)",3,1,,,2
"Castellano (077)",17080,2633,452,117,13886
"Es Sordomudo/a (079)",37,2,,,35
