"CUADRO Nº 12: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia HUANTA (000)",22710,113,376,974,2030,3837,9576,5804
"De 12 a 14 años (001)",38,,,,,,7,31
"De 15 a 19 años (002)",944,,,,,,619,325
"De 20 a 24 años (003)",2696,,,,,10,1708,978
"De 25 a 29 años (004)",2967,,,,,125,2049,793
"De 30 a 34 años (005)",2841,,,,4,366,1925,546
"De 35 a 39 años (006)",2507,,,,11,574,1513,409
"De 40 a 44 años (007)",2277,,,,75,714,1097,391
"De 45 a 49 años (008)",1872,,,5,201,795,551,320
"De 50 y más años (009)",6568,113,376,969,1739,1253,107,2011
"PEA (010)",7432,8,43,198,672,1485,3038,1988
"De 12 a 14 años (011)",7,,,,,,1,6
"De 15 a 19 años (012)",226,,,,,,140,86
"De 20 a 24 años (013)",883,,,,,2,503,378
"De 25 a 29 años (014)",1045,,,,,57,627,361
"De 30 a 34 años (015)",1015,,,,1,157,633,224
"De 35 a 39 años (016)",970,,,,6,253,538,173
"De 40 a 44 años (017)",887,,,,40,314,377,156
"De 45 a 49 años (018)",741,,,5,92,314,193,137
"De 50 y más años (019)",1658,8,43,193,533,388,26,467
"Ocupada (020)",7189,8,41,196,661,1453,2933,1897
"De 12 a 14 años (021)",7,,,,,,1,6
"De 15 a 19 años (022)",215,,,,,,134,81
"De 20 a 24 años (023)",845,,,,,2,483,360
"De 25 a 29 años (024)",987,,,,,54,600,333
"De 30 a 34 años (025)",973,,,,1,152,610,210
"De 35 a 39 años (026)",940,,,,6,246,522,166
"De 40 a 44 años (027)",864,,,,37,307,369,151
"De 45 a 49 años (028)",722,,,4,91,307,188,132
"De 50 y más años (029)",1636,8,41,192,526,385,26,458
"Desocupada (030)",243,,2,2,11,32,105,91
"De 15 a 19 años (032)",11,,,,,,6,5
"De 20 a 24 años (033)",38,,,,,,20,18
"De 25 a 29 años (034)",58,,,,,3,27,28
"De 30 a 34 años (035)",42,,,,,5,23,14
"De 35 a 39 años (036)",30,,,,,7,16,7
"De 40 a 44 años (037)",23,,,,3,7,8,5
"De 45 a 49 años (038)",19,,,1,1,7,5,5
"De 50 y más años (039)",22,,2,1,7,3,,9
"No PEA (040)",15278,105,333,776,1358,2352,6538,3816
"De 12 a 14 años (041)",31,,,,,,6,25
"De 15 a 19 años (042)",718,,,,,,479,239
"De 20 a 24 años (043)",1813,,,,,8,1205,600
"De 25 a 29 años (044)",1922,,,,,68,1422,432
"De 30 a 34 años (045)",1826,,,,3,209,1292,322
"De 35 a 39 años (046)",1537,,,,5,321,975,236
"De 40 a 44 años (047)",1390,,,,35,400,720,235
