"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia ANTA (000)",16657,13191,2050,675,741
"Empleado (001)",1691,623,236,352,480
"Obrero (002)",1934,991,422,271,250
"Trabajador independiente (003)",9881,8831,1050,,
"Empleador o patrono (004)",359,263,70,20,6
"Trabajador familiar no remunerado (005)",2606,2297,272,32,5
"Trabajador del hogar (006)",186,186,,,
"De 06 a 14 años (008)",364,314,45,5,
"Empleado (009)",14,11,2,1,
"Obrero (010)",17,14,2,1,
"Trabajador independiente (011)",53,44,9,,
"Trabajador familiar no remunerado (013)",260,225,32,3,
"Trabajador del hogar (014)",20,20,,,
"De 15 a 29 años (016)",4623,3597,589,200,237
"Empleado (017)",665,306,104,94,161
"Obrero (018)",695,371,154,98,72
"Trabajador independiente (019)",2013,1798,215,,
"Empleador o patrono (020)",84,59,20,2,3
"Trabajador familiar no remunerado (021)",1051,948,96,6,1
"Trabajador del hogar (022)",115,115,,,
"De 30 a 44 años (024)",5546,4231,714,293,308
"Empleado (025)",660,212,81,159,208
"Obrero (026)",676,313,150,115,98
"Trabajador independiente (027)",3447,3058,389,,
"Empleador o patrono (028)",117,88,18,10,1
"Trabajador familiar no remunerado (029)",624,538,76,9,1
"Trabajador del hogar (030)",22,22,,,
"De 45 a 64 años (032)",4586,3656,582,163,185
"Empleado (033)",337,88,47,94,108
"Obrero (034)",480,244,108,55,73
"Trabajador independiente (035)",3140,2791,349,,
"Empleador o patrono (036)",109,84,22,2,1
"Trabajador familiar no remunerado (037)",494,423,56,12,3
"Trabajador del hogar (038)",26,26,,,
"De 65 y más años (040)",1538,1393,120,14,11
"Empleado (041)",15,6,2,4,3
"Obrero (042)",66,49,8,2,7
"Trabajador independiente (043)",1228,1140,88,,
"Empleador o patrono (044)",49,32,10,6,1
"Trabajador familiar no remunerado (045)",177,163,12,2,
"Trabajador del hogar (046)",3,3,,,
,,,,,
"URBANA (048)",6326,4632,806,425,463
"Empleado (049)",1121,366,158,263,334
"Obrero (050)",872,423,181,144,124
"Trabajador independiente (051)",3448,3104,344,,
"Empleador o patrono (052)",134,96,27,9,2
"Trabajador familiar no remunerado (053)",660,552,96,9,3
"Trabajador del hogar (054)",91,91,,,
"De 06 a 14 años (056)",171,148,21,2,
