"CUADRO Nº 4: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia CONDESUYOS (000)",8683,73,2792,3179,2016,623
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",25,,1,11,13,
"Profes., científicos e intelectuales (002)",460,,102,241,116,1
"Técnicos de nivel medio y trab.asimilados (003)",256,,94,99,60,3
"Jefes y empleados de oficina (004)",201,,77,72,52,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",615,5,215,230,139,26
"Agricult.trabaj. calif. agrop. y pesqueros (006)",1537,7,190,403,568,369
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",2632,,1073,1154,384,21
"Obreros construc., conf., papel, fab., instr. (008)",375,,107,182,78,8
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (009)",2137,58,758,659,508,154
"Otra (010)",37,,7,22,8,
"Ocupación no especificada (011)",133,,49,33,36,15
"Desocupado (012)",275,3,119,73,54,26
"Hombres (013)",6402,47,2136,2397,1406,416
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",21,,1,8,12,
"Profes., científicos e intelectuales (015)",241,,54,122,64,1
"Técnicos de nivel medio y trab.asimilados (016)",188,,68,70,48,2
"Jefes y empleados de oficina (017)",124,,42,44,38,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",206,2,67,69,59,9
"Agricult.trabaj. calif. agrop. y pesqueros (019)",1108,7,130,289,407,275
"Obreros y oper.minas, cant.,ind.manuf. y otros (020)",2492,,1030,1096,349,17
"Obreros construc., conf., papel, fab., instr. (021)",368,,104,179,77,8
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (022)",1333,37,514,423,284,75
"Otra (023)",37,,7,22,8,
"Ocupación no especificada (024)",61,,25,18,14,4
"Desocupado (025)",223,1,94,57,46,25
"Mujeres (026)",2281,26,656,782,610,207
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",4,,,3,1,
"Profes., científicos e intelectuales (028)",219,,48,119,52,
"Técnicos de nivel medio y trab.asimilados (029)",68,,26,29,12,1
"Jefes y empleados de oficina (030)",77,,35,28,14,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",409,3,148,161,80,17
"Agricult.trabaj. calif. agrop. y pesqueros (032)",429,,60,114,161,94
"Obreros y oper.minas, cant.,ind.manuf. y otros (033)",140,,43,58,35,4
"Obreros construc., conf., papel, fab., instr. (034)",7,,3,3,1,
