"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia PAUCAR DEL SARA SARA (000)",3869,3082,347,244,196
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",35,,11,1,23
"Profes., científicos e intelectuales (002)",472,134,165,151,22
"Técnicos de nivel medio y trab. asimilados (003)",108,57,8,14,29
"Jefes y empleados de oficina (004)",117,18,18,20,61
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",357,345,7,4,1
"Agricult.trabaj.calif.agrop.y pesqueros (006)",1052,1025,27,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",319,296,13,2,8
"Obreros construc.,conf.,papel, fab., instr. (008)",157,122,20,10,5
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",1085,948,63,37,37
"Otra (010)",9,,,,9
"Ocupación no especificada (011)",158,137,15,5,1
"Hombres (012)",2615,2102,218,158,137
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",24,,5,1,18
"Profes., científicos e intelectuales (014)",228,49,82,86,11
"Técnicos de nivel medio y trab. asimilados (015)",65,32,7,8,18
"Jefes y empleados de oficina (016)",63,5,10,13,35
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",116,113,2,1,
"Agricult.trabaj.calif.agrop.y pesqueros (018)",877,857,20,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",285,263,12,2,8
"Obreros construc.,conf.,papel, fab., instr. (020)",153,118,20,10,5
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",699,587,48,32,32
"Otra (022)",9,,,,9
"Ocupación no especificada (023)",96,78,12,5,1
"Mujeres (024)",1254,980,129,86,59
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",11,,6,,5
"Profes., científicos e intelectuales (026)",244,85,83,65,11
"Técnicos de nivel medio y trab. asimilados (027)",43,25,1,6,11
"Jefes y empleados de oficina (028)",54,13,8,7,26
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",241,232,5,3,1
"Agricult.trabaj.calif.agrop.y pesqueros (030)",175,168,7,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",34,33,1,,
"Obreros construc.,conf.,papel, fab., instr. (032)",4,4,,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",386,361,15,5,5
