"CUADRO Nº 9: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR CONDICIÓN DE ALFABETISMO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD NORMATIVA DE ESTUDIOS",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y EDAD NORMATIVA DE ESTUDIOS",TOTAL,"CONDICIÓN DE ALFABETISMO",
,,"SABE LEER Y ESCRIBIR","NO SABE LEER NI ESCRIBIR"
,,,
"Provincia HUARMEY (000)",11844,10156,1688
"De 3 a 5 años (001)",1584,167,1417
"De 6 a 11 años (002)",3397,3183,214
"De 12 a 16 años (003)",3114,3094,20
"De 17 a 24 años (004)",3749,3712,37
"Hombres (005)",6143,5242,901
"De 3 a 5 años (006)",847,89,758
"De 6 a 11 años (007)",1735,1621,114
"De 12 a 16 años (008)",1620,1608,12
"De 17 a 24 años (009)",1941,1924,17
"Mujeres (010)",5701,4914,787
"De 3 a 5 años (011)",737,78,659
"De 6 a 11 años (012)",1662,1562,100
"De 12 a 16 años (013)",1494,1486,8
"De 17 a 24 años (014)",1808,1788,20
,,,
"URBANA (015)",8853,7665,1188
"De 3 a 5 años (016)",1147,138,1009
"De 6 a 11 años (017)",2531,2382,149
"De 12 a 16 años (018)",2374,2364,10
"De 17 a 24 años (019)",2801,2781,20
"Hombres (020)",4502,3893,609
"De 3 a 5 años (021)",592,75,517
"De 6 a 11 años (022)",1281,1208,73
"De 12 a 16 años (023)",1217,1209,8
"De 17 a 24 años (024)",1412,1401,11
"Mujeres (025)",4351,3772,579
"De 3 a 5 años (026)",555,63,492
"De 6 a 11 años (027)",1250,1174,76
"De 12 a 16 años (028)",1157,1155,2
"De 17 a 24 años (029)",1389,1380,9
,,,
"RURAL (030)",2991,2491,500
"De 3 a 5 años (031)",437,29,408
"De 6 a 11 años (032)",866,801,65
"De 12 a 16 años (033)",740,730,10
"De 17 a 24 años (034)",948,931,17
"Hombres (035)",1641,1349,292
"De 3 a 5 años (036)",255,14,241
"De 6 a 11 años (037)",454,413,41
"De 12 a 16 años (038)",403,399,4
"De 17 a 24 años (039)",529,523,6
"Mujeres (040)",1350,1142,208
"De 3 a 5 años (041)",182,15,167
"De 6 a 11 años (042)",412,388,24
"De 12 a 16 años (043)",337,331,6
"De 17 a 24 años (044)",419,408,11
