"CUADRO Nº 11: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR TIPO DE ABASTECIMIENTO DE AGUA POTABLE, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, DISPONIBILIDAD DE AGUA TODOS LOS DÍAS DE LA SEMANA, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, DISPONIBILIDAD DE AGUA TODOS LOS DÍAS DE LA SEMANA, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"TIPO DE ABASTECIMIENTO DE AGUA POTABLE",,
,,"RED PÚBLICA DENTRO DE LA VIVIENDA (AGUA POTABLE)","RED PÚBLICA FUERA DE LA VIVIENDA PERO DENTRO DE LA EDIFICACIÓN (AGUA POTABLE)","PILÓN DE USO PÚBLICO (AGUA POTABLE)"
,,,,
"Provincia YAULI",,,,
"Viviendas particulares (001)",10524,7240,2298,986
"Ocupantes presentes (002)",38689,26813,8471,3405
"Casa independiente",,,,
"Viviendas particulares (004)",7731,5239,1617,875
"Ocupantes presentes (005)",29091,20011,6134,2946
"Departamento en edificio",,,,
"Viviendas particulares (007)",1484,1350,134,
"Ocupantes presentes (008)",4866,4387,479,
"Vivienda en quinta",,,,
"Viviendas particulares (010)",645,347,298,
"Ocupantes presentes (011)",2256,1284,972,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (013)",619,285,243,91
"Ocupantes presentes (014)",2365,1084,874,407
"Choza o cabaña",,,,
"Viviendas particulares (016)",5,,,5
"Ocupantes presentes (017)",23,,,23
"Vivienda improvisada",,,,
"Viviendas particulares (019)",10,5,1,4
"Ocupantes presentes (020)",19,10,2,7
"Local no dest.para hab. humana",,,,
"Viviendas particulares (022)",22,14,5,3
"Ocupantes presentes (023)",54,37,10,7
"Otro tipo",,,,
"Viviendas particulares (025)",8,,,8
"Ocupantes presentes (026)",15,,,15
Si,,,,
"Viviendas particulares (028)",9046,6351,1909,786
"Ocupantes presentes (029)",32887,23210,6881,2796
"Casa independiente",,,,
"Viviendas particulares (031)",6436,4434,1303,699
"Ocupantes presentes (032)",23959,16732,4819,2408
"Departamento en edificio",,,,
"Viviendas particulares (034)",1424,1300,124,
"Ocupantes presentes (035)",4645,4214,431,
"Vivienda en quinta",,,,
"Viviendas particulares (037)",598,328,270,
"Ocupantes presentes (038)",2088,1201,887,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (040)",553,271,206,76
"Ocupantes presentes (041)",2110,1022,732,356
"Choza o cabaña",,,,
"Viviendas particulares (043)",3,,,3
"Ocupantes presentes (044)",15,,,15
"Vivienda improvisada",,,,
"Viviendas particulares (046)",10,5,1,4
"Ocupantes presentes (047)",19,10,2,7
"Local no dest.para hab. humana",,,,
"Viviendas particulares (049)",20,13,5,2
"Ocupantes presentes (050)",45,31,10,4
"Otro tipo",,,,
"Viviendas particulares (052)",2,,,2
"Ocupantes presentes (053)",6,,,6
No,,,,
"Viviendas particulares (055)",1478,889,389,200
"Ocupantes presentes (056)",5802,3603,1590,609
"Casa independiente",,,,
"Viviendas particulares (058)",1295,805,314,176
"Ocupantes presentes (059)",5132,3279,1315,538
"Departamento en edificio",,,,
"Viviendas particulares (061)",60,50,10,
"Ocupantes presentes (062)",221,173,48,
"Vivienda en quinta",,,,
"Viviendas particulares (064)",47,19,28,
"Ocupantes presentes (065)",168,83,85,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (067)",66,14,37,15
"Ocupantes presentes (068)",255,62,142,51
"Choza o cabaña",,,,
"Viviendas particulares (070)",2,,,2
"Ocupantes presentes (071)",8,,,8
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (076)",2,1,,1
"Ocupantes presentes (077)",9,6,,3
"Otro tipo",,,,
"Viviendas particulares (079)",6,,,6
"Ocupantes presentes (080)",9,,,9
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
,,,,
URBANA,,,,
"Viviendas particulares (109)",9816,6801,2198,817
"Ocupantes presentes (110)",36672,25513,8207,2952
"Casa independiente",,,,
"Viviendas particulares (112)",7030,4800,1517,713
"Ocupantes presentes (113)",27101,18711,5870,2520
"Departamento en edificio",,,,
"Viviendas particulares (115)",1484,1350,134,
"Ocupantes presentes (116)",4866,4387,479,
"Vivienda en quinta",,,,
"Viviendas particulares (118)",645,347,298,
"Ocupantes presentes (119)",2256,1284,972,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (121)",619,285,243,91
"Ocupantes presentes (122)",2365,1084,874,407
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Viviendas particulares (127)",10,5,1,4
"Ocupantes presentes (128)",19,10,2,7
"Local no dest.para hab. humana",,,,
"Viviendas particulares (130)",20,14,5,1
"Ocupantes presentes (131)",50,37,10,3
"Otro tipo",,,,
"Viviendas particulares (133)",8,,,8
"Ocupantes presentes (134)",15,,,15
Si,,,,
"Viviendas particulares (136)",8376,5920,1818,638
"Ocupantes presentes (137)",30996,21949,6663,2384
"Casa independiente",,,,
"Viviendas particulares (139)",5771,4003,1212,556
"Ocupantes presentes (140)",22087,15471,4601,2015
"Departamento en edificio",,,,
"Viviendas particulares (142)",1424,1300,124,
"Ocupantes presentes (143)",4645,4214,431,
"Vivienda en quinta",,,,
"Viviendas particulares (145)",598,328,270,
"Ocupantes presentes (146)",2088,1201,887,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (148)",553,271,206,76
"Ocupantes presentes (149)",2110,1022,732,356
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Viviendas particulares (154)",10,5,1,4
"Ocupantes presentes (155)",19,10,2,7
"Local no dest.para hab. humana",,,,
"Viviendas particulares (157)",18,13,5,
"Ocupantes presentes (158)",41,31,10,
"Otro tipo",,,,
"Viviendas particulares (160)",2,,,2
"Ocupantes presentes (161)",6,,,6
No,,,,
"Viviendas particulares (163)",1440,881,380,179
"Ocupantes presentes (164)",5676,3564,1544,568
"Casa independiente",,,,
"Viviendas particulares (166)",1259,797,305,157
"Ocupantes presentes (167)",5014,3240,1269,505
"Departamento en edificio",,,,
"Viviendas particulares (169)",60,50,10,
"Ocupantes presentes (170)",221,173,48,
"Vivienda en quinta",,,,
"Viviendas particulares (172)",47,19,28,
"Ocupantes presentes (173)",168,83,85,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (175)",66,14,37,15
"Ocupantes presentes (176)",255,62,142,51
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (184)",2,1,,1
"Ocupantes presentes (185)",9,6,,3
"Otro tipo",,,,
"Viviendas particulares (187)",6,,,6
"Ocupantes presentes (188)",9,,,9
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
,,,,
RURAL,,,,
"Viviendas particulares (217)",708,439,100,169
"Ocupantes presentes (218)",2017,1300,264,453
"Casa independiente",,,,
"Viviendas particulares (220)",701,439,100,162
"Ocupantes presentes (221)",1990,1300,264,426
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Viviendas particulares (232)",5,,,5
"Ocupantes presentes (233)",23,,,23
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (238)",2,,,2
"Ocupantes presentes (239)",4,,,4
"Otro tipo",,,,
Si,,,,
"Viviendas particulares (244)",670,431,91,148
"Ocupantes presentes (245)",1891,1261,218,412
"Casa independiente",,,,
"Viviendas particulares (247)",665,431,91,143
"Ocupantes presentes (248)",1872,1261,218,393
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Viviendas particulares (259)",3,,,3
"Ocupantes presentes (260)",15,,,15
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (265)",2,,,2
"Ocupantes presentes (266)",4,,,4
"Otro tipo",,,,
No,,,,
"Viviendas particulares (271)",38,8,9,21
"Ocupantes presentes (272)",126,39,46,41
"Casa independiente",,,,
"Viviendas particulares (274)",36,8,9,19
"Ocupantes presentes (275)",118,39,46,33
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Viviendas particulares (286)",2,,,2
"Ocupantes presentes (287)",8,,,8
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
