"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia TAYACAJA (000)",25724,336,11330,8080,1973,637,264,124,23,,2957
"Sin Nivel (001)",8844,156,3833,2799,755,297,132,75,16,,781
"Educación Inicial (002)",54,3,26,8,2,,,,,,15
"Primaria (003)",11503,138,5607,3583,688,168,90,40,5,,1184
"Secundaria (004)",4141,36,1690,1319,277,63,28,5,1,,722
"Sup. no Univ. Incompleta (005)",264,2,70,94,33,8,,,,,57
"Sup. no Univ. Completa (006)",341,1,54,108,75,35,2,,,,66
"Sup. Univ. Incompleta (007)",115,,13,38,16,4,1,1,,,42
"Sup. Univ. Completa (008)",462,,37,131,127,62,11,3,1,,90
,,,,,,,,,,,
"URBANA (010)",6573,84,2510,2072,648,230,121,49,7,,852
"Sin Nivel (011)",1506,33,585,455,132,57,48,23,2,,171
"Educación Inicial (012)",16,2,8,2,1,,,,,,3
"Primaria (013)",2605,31,1172,808,189,63,40,18,4,,280
"Secundaria (014)",1576,15,615,527,140,29,20,4,1,,225
"Sup. no Univ. Incompleta (015)",174,2,51,65,19,4,,,,,33
"Sup. no Univ. Completa (016)",269,1,41,84,62,29,2,,,,50
"Sup. Univ. Incompleta (017)",84,,10,33,12,4,1,1,,,23
"Sup. Univ. Completa (018)",343,,28,98,93,44,10,3,,,67
,,,,,,,,,,,
"RURAL (020)",19151,252,8820,6008,1325,407,143,75,16,,2105
"Sin Nivel (021)",7338,123,3248,2344,623,240,84,52,14,,610
"Educación Inicial (022)",38,1,18,6,1,,,,,,12
"Primaria (023)",8898,107,4435,2775,499,105,50,22,1,,904
"Secundaria (024)",2565,21,1075,792,137,34,8,1,,,497
"Sup. no Univ. Incompleta (025)",90,,19,29,14,4,,,,,24
"Sup. no Univ. Completa (026)",72,,13,24,13,6,,,,,16
"Sup. Univ. Incompleta (027)",31,,3,5,4,,,,,,19
"Sup. Univ. Completa (028)",119,,9,33,34,18,1,,1,,23
