"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia CANAS (000)",10007,38138,1751,6001,8256,32137
"Casa independiente (001)",8784,33831,1545,5438,7239,28393
"Vivienda en quinta (003)",3,7,3,7,,
"Vivienda en casa de vecindad (004)",200,548,200,548,,
"Choza o cabaña (005)",1017,3744,,,1017,3744
"Vivienda improvisada (006)",1,1,1,1,,
"Local no dest.para hab. humana (007)",2,7,2,7,,
