"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia AYMARAES (000)",29569,508,9671,6022,5199,4701,3468
"Hombres (001)",15073,250,4926,3232,2774,2312,1579
"Mujeres (002)",14496,258,4745,2790,2425,2389,1889
"Viviendas particulares (003)",28442,508,9664,5561,4681,4563,3465
"Hombres (004)",14017,250,4922,2809,2282,2177,1577
"Mujeres (005)",14425,258,4742,2752,2399,2386,1888
"Viviendas colectivas (006)",986,,2,400,471,111,2
"Hombres (007)",940,,2,375,453,109,1
"Mujeres (008)",46,,,25,18,2,1
"Otro tipo (009)",141,,5,61,47,27,1
"Hombres (010)",116,,2,48,39,26,1
"Mujeres (011)",25,,3,13,8,1,
,,,,,,,
"URBANA (012)",12764,217,4205,2661,2310,1975,1396
"Hombres (013)",6310,108,2140,1342,1147,959,614
"Mujeres (014)",6454,109,2065,1319,1163,1016,782
"Viviendas particulares (015)",12555,217,4198,2575,2234,1938,1393
"Hombres (016)",6148,108,2136,1280,1087,925,612
"Mujeres (017)",6407,109,2062,1295,1147,1013,781
"Viviendas colectivas (018)",68,,2,25,29,10,2
"Hombres (019)",46,,2,14,21,8,1
"Mujeres (020)",22,,,11,8,2,1
"Otro tipo (021)",141,,5,61,47,27,1
"Hombres (022)",116,,2,48,39,26,1
"Mujeres (023)",25,,3,13,8,1,
,,,,,,,
"RURAL (024)",16805,291,5466,3361,2889,2726,2072
"Hombres (025)",8763,142,2786,1890,1627,1353,965
"Mujeres (026)",8042,149,2680,1471,1262,1373,1107
"Viviendas particulares (027)",15887,291,5466,2986,2447,2625,2072
"Hombres (028)",7869,142,2786,1529,1195,1252,965
"Mujeres (029)",8018,149,2680,1457,1252,1373,1107
"Viviendas colectivas (030)",918,,,375,442,101,
"Hombres (031)",894,,,361,432,101,
"Mujeres (032)",24,,,14,10,,
