"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia POMABAMBA (000)",10234,9971,3147,1162,973,855,1547,1123,1164,263
"Católica (001)",9261,9016,2841,1052,877,779,1394,1010,1063,245
"Cristiana/Evangélica (002)",874,856,269,97,82,72,138,104,94,18
"Otra (003)",49,49,20,4,8,2,8,3,4,
"Ninguna (004)",50,50,17,9,6,2,7,6,3,
,,,,,,,,,,
"URBANA (006)",2384,2304,700,338,344,237,376,178,131,80
"Católica (007)",2131,2055,610,301,308,219,345,156,116,76
"Cristiana/Evangélica (008)",206,202,70,30,27,17,26,20,12,4
"Otra (009)",29,29,13,1,7,1,4,1,2,
"Ninguna (010)",18,18,7,6,2,,1,1,1,
,,,,,,,,,,
"RURAL (012)",7850,7667,2447,824,629,618,1171,945,1033,183
"Católica (013)",7130,6961,2231,751,569,560,1049,854,947,169
"Cristiana/Evangélica (014)",668,654,199,67,55,55,112,84,82,14
"Otra (015)",20,20,7,3,1,1,4,2,2,
"Ninguna (016)",32,32,10,3,4,2,6,5,2,
