"CUADRO Nº 15: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACIÓN",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia GRAU (000)",5790,715,8,1843,1934,232,651,102,305
"Empleado (001)",1109,5,,31,138,76,528,63,268
"Obrero (002)",927,65,3,306,467,40,28,12,6
"Trabajador independiente (003)",2783,432,3,1164,970,90,75,22,27
"Empleador o patrono (004)",55,6,,13,22,6,5,1,2
"Trabajador familiar no remunerado (005)",856,199,2,307,307,20,15,4,2
"Trabajador del hogar (006)",60,8,,22,30,,,,
"Hombres (008)",4236,354,5,1467,1515,175,425,81,214
"Empleado (009)",726,3,,15,91,51,341,46,179
"Obrero (010)",848,48,3,278,437,39,26,11,6
"Trabajador independiente (011)",2170,248,2,995,768,65,46,20,26
"Empleador o patrono (012)",45,5,,10,18,6,4,1,1
"Trabajador familiar no remunerado (013)",436,50,,164,195,14,8,3,2
"Trabajador del hogar (014)",11,,,5,6,,,,
"Mujeres (016)",1554,361,3,376,419,57,226,21,91
"Empleado (017)",383,2,,16,47,25,187,17,89
"Obrero (018)",79,17,,28,30,1,2,1,
"Trabajador independiente (019)",613,184,1,169,202,25,29,2,1
"Empleador o patrono (020)",10,1,,3,4,,1,,1
"Trabajador familiar no remunerado (021)",420,149,2,143,112,6,7,1,
"Trabajador del hogar (022)",49,8,,17,24,,,,
,,,,,,,,,
"URBANA (024)",2694,169,2,624,930,150,517,78,224
"Empleado (025)",866,3,,21,107,52,429,54,200
"Obrero (026)",482,16,1,140,265,28,19,10,3
"Trabajador independiente (027)",994,95,1,345,411,54,57,13,18
"Empleador o patrono (028)",24,1,,4,8,5,4,,2
"Trabajador familiar no remunerado (029)",281,48,,97,115,11,8,1,1
"Trabajador del hogar (030)",47,6,,17,24,,,,
"Hombres (032)",1779,49,2,437,655,105,323,59,149
"Empleado (033)",547,2,,11,67,32,270,38,127
"Obrero (034)",435,12,1,125,241,27,17,9,3
"Trabajador independiente (035)",646,30,1,245,278,33,30,12,17
"Empleador o patrono (036)",14,,,1,4,5,3,,1
"Trabajador familiar no remunerado (037)",128,5,,52,59,8,3,,1
"Trabajador del hogar (038)",9,,,3,6,,,,
"Mujeres (040)",915,120,,187,275,45,194,19,75
"Empleado (041)",319,1,,10,40,20,159,16,73
"Obrero (042)",47,4,,15,24,1,2,1,
"Trabajador independiente (043)",348,65,,100,133,21,27,1,1
"Empleador o patrono (044)",10,1,,3,4,,1,,1
"Trabajador familiar no remunerado (045)",153,43,,45,56,3,5,1,
"Trabajador del hogar (046)",38,6,,14,18,,,,
,,,,,,,,,
"RURAL (048)",3096,546,6,1219,1004,82,134,24,81
"Empleado (049)",243,2,,10,31,24,99,9,68
"Obrero (050)",445,49,2,166,202,12,9,2,3
"Trabajador independiente (051)",1789,337,2,819,559,36,18,9,9
"Empleador o patrono (052)",31,5,,9,14,1,1,1,
"Trabajador familiar no remunerado (053)",575,151,2,210,192,9,7,3,1
"Trabajador del hogar (054)",13,2,,5,6,,,,
"Hombres (056)",2457,305,3,1030,860,70,102,22,65
"Empleado (057)",179,1,,4,24,19,71,8,52
"Obrero (058)",413,36,2,153,196,12,9,2,3
"Trabajador independiente (059)",1524,218,1,750,490,32,16,8,9
"Empleador o patrono (060)",31,5,,9,14,1,1,1,
"Trabajador familiar no remunerado (061)",308,45,,112,136,6,5,3,1
"Trabajador del hogar (062)",2,,,2,,,,,
"Mujeres (064)",639,241,3,189,144,12,32,2,16
"Empleado (065)",64,1,,6,7,5,28,1,16
"Obrero (066)",32,13,,13,6,,,,
"Trabajador independiente (067)",265,119,1,69,69,4,2,1,
"Trabajador familiar no remunerado (069)",267,106,2,98,56,3,2,,
"Trabajador del hogar (070)",11,2,,3,6,,,,
