"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia CASMA (000)",11391,225,4595,3550,1271,483,209,57,8,,993
"Catolica (001)",9653,187,3886,3013,1080,416,168,53,7,,843
"Cristiana / Evangelica (002)",1428,34,586,452,156,49,31,4,1,,115
"Otra (003)",151,3,58,47,14,11,5,,,,13
"Ninguna (004)",159,1,65,38,21,7,5,,,,22
,,,,,,,,,,,
"URBANA (006)",8142,125,3016,2541,1025,409,179,52,6,,789
"Catolica (007)",6895,103,2531,2173,872,352,144,49,5,,666
"Cristiana / Evangelica (008)",993,20,388,299,123,44,26,3,1,,89
"Otra (009)",123,1,49,37,10,8,5,,,,13
"Ninguna (010)",131,1,48,32,20,5,4,,,,21
,,,,,,,,,,,
"RURAL (012)",3249,100,1579,1009,246,74,30,5,2,,204
"Catolica (013)",2758,84,1355,840,208,64,24,4,2,,177
"Cristiana / Evangelica (014)",435,14,198,153,33,5,5,1,,,26
"Otra (015)",28,2,9,10,4,3,,,,,
"Ninguna (016)",28,,17,6,1,2,1,,,,1
