"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia DATEM DEL MARAÑON (000)",9901,497,5078,1712,426,125,77,35,9,,1942
"Catolica (001)",5536,280,2909,996,262,70,40,16,4,,959
"Cristiana / Evangelica (002)",3669,179,1799,603,138,50,33,17,5,,845
"Otra (003)",403,22,239,67,15,3,4,2,,,51
"Ninguna (004)",293,16,131,46,11,2,,,,,87
,,,,,,,,,,,
"URBANA (006)",2969,114,1582,647,163,47,24,6,,,386
"Catolica (007)",2084,79,1064,466,135,39,18,3,,,280
"Cristiana / Evangelica (008)",698,26,405,139,23,7,6,3,,,89
"Otra (009)",129,6,83,28,4,,,,,,8
"Ninguna (010)",58,3,30,14,1,1,,,,,9
,,,,,,,,,,,
"RURAL (012)",6932,383,3496,1065,263,78,53,29,9,,1556
"Catolica (013)",3452,201,1845,530,127,31,22,13,4,,679
"Cristiana / Evangelica (014)",2971,153,1394,464,115,43,27,14,5,,756
"Otra (015)",274,16,156,39,11,3,4,2,,,43
"Ninguna (016)",235,13,101,32,10,1,,,,,78
