"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia JUNIN (000)",12096,11638,3839,1494,1399,1119,1625,1041,1121,458
"Católica (001)",10040,9649,3223,1289,1161,928,1342,844,862,391
"Cristiana/Evangélica (002)",1866,1805,531,182,216,180,265,186,245,61
"Otra (003)",100,96,36,15,11,7,10,7,10,4
"Ninguna (004)",90,88,49,8,11,4,8,4,4,2
,,,,,,,,,,
"URBANA (006)",8799,8445,2898,1138,1054,815,1153,675,712,354
"Católica (007)",7425,7128,2464,992,878,683,976,565,570,297
"Cristiana/Evangélica (008)",1211,1160,362,124,155,123,163,102,131,51
"Otra (009)",91,87,34,14,11,6,9,5,8,4
"Ninguna (010)",72,70,38,8,10,3,5,3,3,2
,,,,,,,,,,
"RURAL (012)",3297,3193,941,356,345,304,472,366,409,104
"Católica (013)",2615,2521,759,297,283,245,366,279,292,94
"Cristiana/Evangélica (014)",655,645,169,58,61,57,102,84,114,10
"Otra (015)",9,9,2,1,,1,1,2,2,
"Ninguna (016)",18,18,11,,1,1,3,1,1,
