"CUADRO Nº 9: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR TIPO DE ABASTECIMIENTO DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"TIPO DE ABASTECIMIENTO DE AGUA",,,,,,,
,,"RED PÚBLICA DENTRO DE LA VIVIENDA (AGUA POTABLE)","RED PÚBLICA FUERA DE LA VIVIENDA PERO DENTRO DE LA EDIFICACIÓN (AGUA POTABLE)","PILÓN DE USO PÚBLICO (AGUA POTABLE)","CAMIÓN-CISTERNA U OTRO SIMILAR",POZO,"RÍO, ACEQUIA, MANANTIAL O SIMILAR",VECINO,OTRO
,,,,,,,,,
"Provincia LAMAS",,,,,,,,,
"Viviendas particulares (001)",18246,5705,2022,441,19,3426,5899,552,182
"Ocupantes presentes (002)",78826,24095,9119,1963,56,15136,25648,2092,717
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",15484,5510,1963,284,13,2637,4484,441,152
"Ocupantes presentes (005)",67165,23427,8940,1273,34,11671,19576,1663,581
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (007)",2,2,,,,,,,
"Ocupantes presentes (008)",4,4,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",201,158,39,,,,,4,
"Ocupantes presentes (011)",643,520,99,,,,,24,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",85,22,1,6,,11,40,5,
"Ocupantes presentes (014)",301,95,4,32,,35,118,17,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",2400,,,151,6,753,1364,98,28
"Ocupantes presentes (017)",10427,,,658,22,3330,5910,377,130
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",48,8,19,,,13,5,3,
"Ocupantes presentes (020)",181,29,76,,,52,20,4,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",11,5,,,,2,4,,
"Ocupantes presentes (023)",47,20,,,,9,18,,
"Otro tipo",,,,,,,,,
"Viviendas particulares (025)",15,,,,,10,2,1,2
"Ocupantes presentes (026)",58,,,,,39,6,7,6
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",8875,4723,1344,50,10,1028,1334,357,29
"Ocupantes presentes (029)",37573,19698,6091,227,25,4447,5651,1347,87
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",8527,4528,1285,44,10,1002,1285,344,29
"Ocupantes presentes (032)",36400,19030,5912,195,25,4357,5499,1295,87
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (034)",2,2,,,,,,,
"Ocupantes presentes (035)",4,4,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",201,158,39,,,,,4,
"Ocupantes presentes (038)",643,520,99,,,,,24,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",85,22,1,6,,11,40,5,
"Ocupantes presentes (041)",301,95,4,32,,35,118,17,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",48,8,19,,,13,5,3,
"Ocupantes presentes (047)",181,29,76,,,52,20,4,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",8,5,,,,1,2,,
"Ocupantes presentes (050)",30,20,,,,2,8,,
"Otro tipo",,,,,,,,,
"Viviendas particulares (052)",4,,,,,1,2,1,
"Ocupantes presentes (053)",14,,,,,1,6,7,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",9371,982,678,391,9,2398,4565,195,153
"Ocupantes presentes (056)",41253,4397,3028,1736,31,10689,19997,745,630
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",6957,982,678,240,3,1635,3199,97,123
"Ocupantes presentes (059)",30765,4397,3028,1078,9,7314,14077,368,494
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",2400,,,151,6,753,1364,98,28
"Ocupantes presentes (071)",10427,,,658,22,3330,5910,377,130
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (076)",3,,,,,1,2,,
"Ocupantes presentes (077)",17,,,,,7,10,,
"Otro tipo",,,,,,,,,
"Viviendas particulares (079)",11,,,,,9,,,2
"Ocupantes presentes (080)",44,,,,,38,,,6
