"CUADRO Nº 35: POBLACIÓN DESOCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"12 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia SANCHEZ CARRION (000)",1697,64,985,422,185,41
"Conviviente (001)",610,,253,265,84,8
"Separado(a) (002)",38,,15,16,5,2
"Casado(a) (003)",201,,20,82,77,22
"Viudo(a) (004)",19,,1,4,7,7
"Divorciado(a) (005)",4,,1,2,1,
"Soltero(a) (006)",825,64,695,53,11,2
"Hombres (008)",1343,42,738,354,173,36
"Conviviente (009)",550,,219,241,82,8
"Separado(a) (010)",12,,1,5,4,2
"Casado(a) (011)",180,,17,70,73,20
"Viudo(a) (012)",11,,1,2,4,4
"Divorciado(a) (013)",4,,1,2,1,
"Soltero(a) (014)",586,42,499,34,9,2
"Mujeres (016)",354,22,247,68,12,5
"Conviviente (017)",60,,34,24,2,
"Separado(a) (018)",26,,14,11,1,
"Casado(a) (019)",21,,3,12,4,2
"Viudo(a) (020)",8,,,2,3,3
"Soltero(a) (022)",239,22,196,19,2,
,,,,,,
"AREA URBANA (024)",755,11,436,200,91,17
"Conviviente (025)",268,,102,119,43,4
"Separado(a) (026)",24,,10,11,2,1
"Casado(a) (027)",96,,9,40,38,9
"Viudo(a) (028)",7,,,2,2,3
"Divorciado(a) (029)",3,,1,1,1,
"Soltero(a) (030)",357,11,314,27,5,
"Hombres (032)",571,8,317,148,84,14
"Conviviente (033)",223,,78,99,42,4
"Separado(a) (034)",7,,,4,2,1
"Casado(a) (035)",77,,7,28,35,7
"Viudo(a) (036)",3,,,1,,2
"Divorciado(a) (037)",3,,1,1,1,
"Soltero(a) (038)",258,8,231,15,4,
"Mujeres (040)",184,3,119,52,7,3
"Conviviente (041)",45,,24,20,1,
"Separado(a) (042)",17,,10,7,,
"Casado(a) (043)",19,,2,12,3,2
"Viudo(a) (044)",4,,,1,2,1
"Soltero(a) (046)",99,3,83,12,1,
,,,,,,
"AREA RURAL (048)",942,53,549,222,94,24
"Conviviente (049)",342,,151,146,41,4
"Separado(a) (050)",14,,5,5,3,1
"Casado(a) (051)",105,,11,42,39,13
"Viudo(a) (052)",12,,1,2,5,4
"Divorciado(a) (053)",1,,,1,,
"Soltero(a) (054)",468,53,381,26,6,2
"Hombres (056)",772,34,421,206,89,22
"Conviviente (057)",327,,141,142,40,4
"Separado(a) (058)",5,,1,1,2,1
"Casado(a) (059)",103,,10,42,38,13
"Viudo(a) (060)",8,,1,1,4,2
"Divorciado(a) (061)",1,,,1,,
"Soltero(a) (062)",328,34,268,19,5,2
"Mujeres (064)",170,19,128,16,5,2
"Conviviente (065)",15,,10,4,1,
"Separado(a) (066)",9,,4,4,1,
"Casado(a) (067)",2,,1,,1,
"Viudo(a) (068)",4,,,1,1,2
"Soltero(a) (070)",140,19,113,7,1,
