"CUADRO Nº 3: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA PARTICULAR",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL Y TIPO DE VIVIENDA PARTICULAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia HUANCAYO (000)",461978,7639,133615,131228,89216,70307,29973
"Casa independiente (001)",412321,6665,118919,116400,78752,63799,27786
"Departamento en edificio (002)",13301,216,3455,3757,3139,2078,656
"Vivienda en quinta (003)",15156,300,4432,4666,3096,1972,690
"Vivienda en casa de vecindad (004)",18741,415,5974,5794,3766,2108,684
"Choza o cabaña (005)",1162,27,396,260,196,174,109
"Vivienda improvisada (006)",540,4,216,132,112,58,18
"Local no destinado para hab.humana (007)",698,10,210,204,141,107,26
"Otro tipo (008)",59,2,13,15,14,11,4
,,,,,,,
"URBANA (009)",407794,6667,114823,117881,80117,62471,25835
"Casa independiente (010)",359401,5720,100557,103345,69864,56149,23766
"Departamento en edificio (011)",13301,216,3455,3757,3139,2078,656
"Vivienda en quinta (012)",15156,300,4432,4666,3096,1972,690
"Vivienda en casa de vecindad (013)",18741,415,5974,5794,3766,2108,684
"Vivienda improvisada (015)",540,4,216,132,112,58,18
"Local no destinado para hab.humana (016)",596,10,176,172,126,95,17
"Otro tipo (017)",59,2,13,15,14,11,4
,,,,,,,
"RURAL (018)",54184,972,18792,13347,9099,7836,4138
"Casa independiente (019)",52920,945,18362,13055,8888,7650,4020
"Choza o cabaña (023)",1162,27,396,260,196,174,109
"Local no destinado para hab.humana (025)",102,,34,32,15,12,9
