"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia PUNO (000)",91602,87820,28977,12617,13233,9843,11782,6374,3260,1734,3782,208036
"De 12 a 14 años (001)",7062,7038,7020,16,2,,,,,,24,20
"De 15 a 19 años (002)",11196,11081,10314,688,65,12,2,,,,115,862
"De 20 a 24 años (003)",10686,9456,5519,2678,975,234,43,7,,,1230,5553
"De 25 a 29 años (004)",9949,8915,2425,3061,2191,831,378,21,8,,1034,11726
"De 30 a 34 años (005)",8658,8200,1133,2063,2463,1405,942,158,28,8,458,16585
"De 35 a 39 años (006)",8123,7869,596,1251,2329,1676,1493,430,76,18,254,21029
"De 40 a 44 años (007)",6952,6826,390,734,1616,1526,1628,642,222,68,126,22362
"De 45 a 49 años (008)",6080,5972,298,570,1175,1199,1514,723,358,135,108,22266
"De 50 y más años (009)",22896,22463,1282,1556,2417,2960,5782,4393,2568,1505,433,107633
"PEA (010)",43055,41214,8988,7185,7859,5466,6237,3191,1536,752,1841,108468
"De 12 a 14 años (011)",384,383,378,4,1,,,,,,1,6
"De 15 a 19 años (012)",2551,2514,2194,285,30,4,1,,,,37,361
"De 20 a 24 años (013)",4888,4368,2443,1323,469,112,19,2,,,520,2690
"De 25 a 29 años (014)",5630,5013,1614,1671,1134,396,180,14,4,,617,6007
"De 30 a 34 años (015)",5301,4992,842,1343,1467,765,478,77,14,6,309,9302
"De 35 a 39 años (016)",5149,4995,431,869,1553,984,864,247,42,5,154,12674
"De 40 a 44 años (017)",4533,4462,244,535,1137,1004,1009,375,119,39,71,14024
"De 45 a 49 años (018)",3922,3872,207,403,806,799,958,426,209,64,50,13783
"De 50 y más años (019)",10697,10615,635,752,1262,1402,2728,2050,1148,638,82,49621
