"CUADRO Nº 3: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA PARTICULAR",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL Y TIPO DE VIVIENDA PARTICULAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia DATEM DEL MARAÑON (000)",48859,1771,22714,12565,6997,3954,858
"Casa independiente (001)",45218,1610,21034,11696,6464,3633,781
"Vivienda en quinta (003)",234,11,67,92,43,18,3
"Vivienda en casa de vecindad (004)",87,3,44,19,16,3,2
"Choza o cabaña (005)",3190,143,1507,724,458,287,71
"Vivienda improvisada (006)",70,2,30,21,7,9,1
"Local no destinado para hab.humana (007)",21,,11,4,4,2,
"Otro tipo (008)",39,2,21,9,5,2,
,,,,,,,
"URBANA (009)",13371,405,5674,3629,2125,1257,281
"Casa independiente (010)",12972,389,5530,3496,2056,1226,275
"Vivienda en quinta (012)",234,11,67,92,43,18,3
"Vivienda en casa de vecindad (013)",87,3,44,19,16,3,2
"Vivienda improvisada (015)",70,2,30,21,7,9,1
"Local no destinado para hab.humana (016)",8,,3,1,3,1,
,,,,,,,
"RURAL (018)",35488,1366,17040,8936,4872,2697,577
"Casa independiente (019)",32246,1221,15504,8200,4408,2407,506
"Choza o cabaña (023)",3190,143,1507,724,458,287,71
"Local no destinado para hab.humana (025)",13,,8,3,1,1,
"Otro tipo (026)",39,2,21,9,5,2,
