"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CAJAMARCA (000)",106196,72604,10772,9450,13370
"Empleado (001)",31708,9961,5554,7013,9180
"Obrero (002)",20286,11354,2776,2142,4014
"Trabajador independiente (003)",40396,38649,1747,,
"Empleador o patrono (004)",2266,1629,285,211,141
"Trabajador familiar no remunerado (005)",7784,7255,410,84,35
"Trabajador del hogar (006)",3756,3756,,,
"De 06 a 14 años (008)",1563,1416,108,33,6
"Empleado (009)",139,108,20,8,3
"Obrero (010)",227,183,32,11,1
"Trabajador independiente (011)",266,255,11,,
"Empleador o patrono (012)",3,3,,,
"Trabajador familiar no remunerado (013)",784,723,45,14,2
"Trabajador del hogar (014)",144,144,,,
"De 15 a 29 años (016)",39000,27540,4353,3371,3736
"Empleado (017)",11687,4905,2098,2368,2316
"Obrero (018)",8652,5067,1311,916,1358
"Trabajador independiente (019)",11902,11241,661,,
"Empleador o patrono (020)",645,455,86,56,48
"Trabajador familiar no remunerado (021)",3811,3569,197,31,14
"Trabajador del hogar (022)",2303,2303,,,
"De 30 a 44 años (024)",38287,23673,4259,4086,6269
"Empleado (025)",13319,3469,2463,3155,4232
"Obrero (026)",7333,3628,931,814,1960
"Trabajador independiente (027)",14248,13600,648,,
"Empleador o patrono (028)",871,582,125,99,65
"Trabajador familiar no remunerado (029)",1658,1536,92,18,12
"Trabajador del hogar (030)",858,858,,,
"De 45 a 64 años (032)",22762,15773,1881,1870,3238
"Empleado (033)",6247,1361,925,1426,2535
"Obrero (034)",3592,2090,451,381,670
"Trabajador independiente (035)",10784,10406,378,,
"Empleador o patrono (036)",625,483,66,49,27
"Trabajador familiar no remunerado (037)",1124,1043,61,14,6
"Trabajador del hogar (038)",390,390,,,
"De 65 y más años (040)",4584,4202,171,90,121
"Empleado (041)",316,118,48,56,94
"Obrero (042)",482,386,51,20,25
"Trabajador independiente (043)",3196,3147,49,,
"Empleador o patrono (044)",122,106,8,7,1
"Trabajador familiar no remunerado (045)",407,384,15,7,1
"Trabajador del hogar (046)",61,61,,,
,,,,,
"URBANA (048)",66155,39329,8302,8328,10196
"Empleado (049)",28656,8794,5077,6661,8124
"Obrero (050)",10099,5150,1598,1427,1924
"Trabajador independiente (051)",20803,19552,1251,,
