"CUADRO Nº 1: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 14 AÑOS","15 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia MELGAR (000)",70392,3449,18932,13708,9896,8615,6029,4309,5454
"Quechua (001)",49655,1901,10998,8493,7168,6909,5111,3915,5160
"Aymara (002)",163,5,23,29,33,33,22,7,11
"Ashaninca (003)",4,,2,,2,,,,
"Otra lengua nativa (004)",13,,4,3,2,4,,,
"Castellano (005)",20479,1539,7876,5169,2682,1664,891,383,275
"Idioma extranjero (006)",13,,,1,2,,3,3,4
"Es sordomudo/a (007)",65,4,29,13,7,5,2,1,4
"Hombres (009)",34195,1737,9562,6662,4651,4122,2949,2013,2499
"Quechua (010)",23582,955,5571,4069,3233,3210,2421,1784,2339
"Aymara (011)",95,3,9,18,22,19,14,4,6
"Ashaninca (012)",3,,1,,2,,,,
"Otra lengua nativa (013)",6,,3,,2,1,,,
"Castellano (014)",10466,777,3960,2566,1388,889,513,223,150
"Idioma extranjero (015)",6,,,,,,1,2,3
"Es sordomudo/a (016)",37,2,18,9,4,3,,,1
"Mujeres (018)",36197,1712,9370,7046,5245,4493,3080,2296,2955
"Quechua (019)",26073,946,5427,4424,3935,3699,2690,2131,2821
"Aymara (020)",68,2,14,11,11,14,8,3,5
"Ashaninca (021)",1,,1,,,,,,
"Otra lengua nativa (022)",7,,1,3,,3,,,
"Castellano (023)",10013,762,3916,2603,1294,775,378,160,125
"Idioma extranjero (024)",7,,,1,2,,2,1,1
"Es sordomudo/a (025)",28,2,11,4,3,2,2,1,3
,,,,,,,,,
"URBANA (027)",33572,1489,9100,7003,4988,4338,2734,1719,2201
"Quechua (028)",17224,352,2856,2880,2834,2953,1984,1399,1966
"Aymara (029)",113,2,10,19,25,25,19,5,8
"Ashaninca (030)",3,,2,,1,,,,
"Otra lengua nativa (031)",10,,4,2,2,2,,,
"Castellano (032)",16203,1135,6217,4099,2124,1357,731,314,226
"Idioma extranjero (033)",2,,,,,,,1,1
"Es sordomudo/a (034)",17,,11,3,2,1,,,
"Hombres (036)",16089,729,4589,3416,2277,2026,1333,792,927
"Quechua (037)",7990,168,1438,1423,1247,1357,933,617,807
"Aymara (038)",70,2,6,12,17,14,11,3,5
"Ashaninca (039)",2,,1,,1,,,,
"Otra lengua nativa (040)",5,,3,,2,,,,
"Castellano (041)",8007,559,3132,1979,1009,654,389,171,114
"Idioma extranjero (042)",2,,,,,,,1,1
"Es sordomudo/a (043)",13,,9,2,1,1,,,
"Mujeres (045)",17483,760,4511,3587,2711,2312,1401,927,1274
"Quechua (046)",9234,184,1418,1457,1587,1596,1051,782,1159
"Aymara (047)",43,,4,7,8,11,8,2,3
"Ashaninca (048)",1,,1,,,,,,
"Otra lengua nativa (049)",5,,1,2,,2,,,
"Castellano (050)",8196,576,3085,2120,1115,703,342,143,112
"Es sordomudo/a (052)",4,,2,1,1,,,,
,,,,,,,,,
"RURAL (054)",36820,1960,9832,6705,4908,4277,3295,2590,3253
"Quechua (055)",32431,1549,8142,5613,4334,3956,3127,2516,3194
"Aymara (056)",50,3,13,10,8,8,3,2,3
"Ashaninca (057)",1,,,,1,,,,
"Otra lengua nativa (058)",3,,,1,,2,,,
"Castellano (059)",4276,404,1659,1070,558,307,160,69,49
"Idioma extranjero (060)",11,,,1,2,,3,2,3
"Es sordomudo/a (061)",48,4,18,10,5,4,2,1,4
"Hombres (063)",18106,1008,4973,3246,2374,2096,1616,1221,1572
"Quechua (064)",15592,787,4133,2646,1986,1853,1488,1167,1532
"Aymara (065)",25,1,3,6,5,5,3,1,1
"Ashaninca (066)",1,,,,1,,,,
"Otra lengua nativa (067)",1,,,,,1,,,
"Castellano (068)",2459,218,828,587,379,235,124,52,36
"Idioma extranjero (069)",4,,,,,,1,1,2
"Es sordomudo/a (070)",24,2,9,7,3,2,,,1
"Mujeres (072)",18714,952,4859,3459,2534,2181,1679,1369,1681
"Quechua (073)",16839,762,4009,2967,2348,2103,1639,1349,1662
"Aymara (074)",25,2,10,4,3,3,,1,2
"Otra lengua nativa (076)",2,,,1,,1,,,
"Castellano (077)",1817,186,831,483,179,72,36,17,13
"Idioma extranjero (078)",7,,,1,2,,2,1,1
"Es sordomudo/a (079)",24,2,9,3,2,2,2,1,3
