"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia PAITA (000)",39827,38182,11724,5518,5906,4515,5132,2597,1420,1370,1645,98099
"De 12 a 14 años (001)",3603,3587,3577,8,2,,,,,,16,12
"De 15 a 19 años (002)",5633,5493,4806,614,66,6,1,,,,140,768
"De 20 a 24 años (003)",5020,4504,1651,1807,830,175,36,5,,,516,4173
"De 25 a 29 años (004)",4848,4493,585,1347,1606,689,246,19,1,,355,7790
"De 30 a 34 años (005)",4259,4077,278,658,1315,1004,731,88,2,1,182,10045
"De 35 a 39 años (006)",3756,3619,189,384,870,949,960,215,41,11,137,10955
"De 40 a 44 años (007)",3115,3017,156,226,515,700,949,351,94,26,98,10835
"De 45 a 49 años (008)",2476,2424,104,148,300,419,751,455,168,79,52,10568
"De 50 y más años (009)",7117,6968,378,326,402,573,1458,1464,1114,1253,149,42953
"PEA (010)",9206,8550,2251,1513,1504,1152,1249,530,188,163,656,20289
"De 12 a 14 años (011)",88,86,84,1,1,,,,,,2,3
"De 15 a 19 años (012)",823,801,724,67,9,1,,,,,22,88
"De 20 a 24 años (013)",1377,1178,678,352,118,22,5,3,,,199,694
"De 25 a 29 años (014)",1389,1190,325,384,320,118,40,3,,,199,1565
"De 30 a 34 años (015)",1257,1179,142,282,353,235,144,23,,,78,2457
"De 35 a 39 años (016)",1228,1164,94,175,292,278,269,53,3,,64,3131
"De 40 a 44 años (017)",1070,1030,70,106,206,232,284,108,15,9,40,3359
"De 45 a 49 años (018)",827,807,48,73,114,150,234,130,43,15,20,3154
"De 50 y más años (019)",1147,1115,86,73,91,116,273,210,127,139,32,5838
"Ocupada (020)",8681,8086,2040,1433,1442,1108,1208,512,181,162,595,19585
"De 12 a 14 años (021)",76,74,72,1,1,,,,,,2,3
