"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia PAUCAR DEL SARA SARA (000)",3869,3082,347,244,196
"Empleado (001)",775,209,210,204,152
"Obrero (002)",631,496,57,38,40
"Trabajador independiente (003)",1860,1807,53,,
"Empleador o patrono (004)",22,18,3,1,
"Trabajador familiar no remunerado (005)",527,498,24,1,4
"Trabajador del hogar (006)",54,54,,,
"De 06 a 14 años (008)",69,65,4,,
"Empleado (009)",4,4,,,
"Obrero (010)",17,17,,,
"Trabajador independiente (011)",5,5,,,
"Trabajador familiar no remunerado (013)",38,34,4,,
"Trabajador del hogar (014)",5,5,,,
"De 15 a 29 años (016)",1076,860,90,52,74
"Empleado (017)",180,65,34,30,51
"Obrero (018)",249,182,25,21,21
"Trabajador independiente (019)",446,426,20,,
"Empleador o patrono (020)",4,1,2,1,
"Trabajador familiar no remunerado (021)",175,164,9,,2
"Trabajador del hogar (022)",22,22,,,
"De 30 a 44 años (024)",1214,868,148,119,79
"Empleado (025)",366,84,107,108,67
"Obrero (026)",180,142,17,11,10
"Trabajador independiente (027)",523,506,17,,
"Empleador o patrono (028)",9,9,,,
"Trabajador familiar no remunerado (029)",125,116,7,,2
"Trabajador del hogar (030)",11,11,,,
"De 45 a 64 años (032)",1031,827,96,69,39
"Empleado (033)",216,52,67,66,31
"Obrero (034)",130,106,13,3,8
"Trabajador independiente (035)",552,539,13,,
"Empleador o patrono (036)",4,4,,,
"Trabajador familiar no remunerado (037)",117,114,3,,
"Trabajador del hogar (038)",12,12,,,
"De 65 y más años (040)",479,462,9,4,4
"Empleado (041)",9,4,2,,3
"Obrero (042)",55,49,2,3,1
"Trabajador independiente (043)",334,331,3,,
"Empleador o patrono (044)",5,4,1,,
"Trabajador familiar no remunerado (045)",72,70,1,1,
"Trabajador del hogar (046)",4,4,,,
,,,,,
"URBANA (048)",2857,2165,285,233,174
"Empleado (049)",691,179,175,199,138
"Obrero (050)",429,320,45,32,32
"Trabajador independiente (051)",1345,1302,43,,
"Empleador o patrono (052)",19,15,3,1,
"Trabajador familiar no remunerado (053)",325,301,19,1,4
"Trabajador del hogar (054)",48,48,,,
"De 06 a 14 años (056)",60,56,4,,
"Empleado (057)",4,4,,,
"Obrero (058)",15,15,,,
