"CUADRO Nº 1: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 14 AÑOS","15 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia PISCO (000)",118084,5070,24718,24357,20477,16837,11728,7676,7221
"Quechua (001)",5004,17,218,591,767,907,876,710,918
"Aymara (002)",163,8,19,24,37,27,30,13,5
"Ashaninca (003)",21,1,8,2,4,2,2,1,1
"Otra lengua nativa (004)",30,,9,10,6,3,2,,
"Castellano (005)",112649,5037,24437,23677,19616,15868,10801,6926,6287
"Idioma extranjero (006)",90,1,,15,25,11,12,21,5
"Es sordomudo/a (007)",127,6,27,38,22,19,5,5,5
"Hombres (009)",60165,2597,12762,12612,10236,8347,5855,4006,3750
"Quechua (010)",2420,8,116,305,382,426,413,344,426
"Aymara (011)",94,2,11,14,21,16,16,10,4
"Ashaninca (012)",13,1,5,2,2,1,1,,1
"Otra lengua nativa (013)",21,,8,8,2,2,1,,
"Castellano (014)",57494,2584,12606,12258,9801,7880,5416,3636,3313
"Idioma extranjero (015)",55,,,7,16,9,6,13,4
"Es sordomudo/a (016)",68,2,16,18,12,13,2,3,2
"Mujeres (018)",57919,2473,11956,11745,10241,8490,5873,3670,3471
"Quechua (019)",2584,9,102,286,385,481,463,366,492
"Aymara (020)",69,6,8,10,16,11,14,3,1
"Ashaninca (021)",8,,3,,2,1,1,1,
"Otra lengua nativa (022)",9,,1,2,4,1,1,,
"Castellano (023)",55155,2453,11831,11419,9815,7988,5385,3290,2974
"Idioma extranjero (024)",35,1,,8,9,2,6,8,1
"Es sordomudo/a (025)",59,4,11,20,10,6,3,2,3
,,,,,,,,,
"URBANA (027)",103466,4424,21619,21224,17960,15009,10451,6684,6095
"Quechua (028)",4038,11,127,461,638,787,739,584,691
"Aymara (029)",135,6,16,19,29,25,26,11,3
"Ashaninca (030)",19,1,8,1,4,2,2,,1
"Otra lengua nativa (031)",23,,8,4,6,3,2,,
"Castellano (032)",99053,4400,21440,20687,17239,14166,9665,6064,5392
"Idioma extranjero (033)",87,1,,15,24,10,12,21,4
"Es sordomudo/a (034)",111,5,20,37,20,16,5,4,4
"Hombres (036)",52328,2269,11160,10850,8903,7369,5193,3444,3140
"Quechua (037)",1937,5,63,227,316,373,352,278,323
"Aymara (038)",79,2,9,10,18,15,14,8,3
"Ashaninca (039)",12,1,5,1,2,1,1,,1
"Otra lengua nativa (040)",15,,8,2,2,2,1,,
"Castellano (041)",50174,2260,11062,10585,8540,6959,4817,3143,2808
"Idioma extranjero (042)",52,,,7,15,8,6,13,3
"Es sordomudo/a (043)",59,1,13,18,10,11,2,2,2
"Mujeres (045)",51138,2155,10459,10374,9057,7640,5258,3240,2955
"Quechua (046)",2101,6,64,234,322,414,387,306,368
"Aymara (047)",56,4,7,9,11,10,12,3,
"Ashaninca (048)",7,,3,,2,1,1,,
"Otra lengua nativa (049)",8,,,2,4,1,1,,
"Castellano (050)",48879,2140,10378,10102,8699,7207,4848,2921,2584
"Idioma extranjero (051)",35,1,,8,9,2,6,8,1
"Es sordomudo/a (052)",52,4,7,19,10,5,3,2,2
,,,,,,,,,
"RURAL (054)",14618,646,3099,3133,2517,1828,1277,992,1126
"Quechua (055)",966,6,91,130,129,120,137,126,227
"Aymara (056)",28,2,3,5,8,2,4,2,2
"Ashaninca (057)",2,,,1,,,,1,
"Otra lengua nativa (058)",7,,1,6,,,,,
"Castellano (059)",13596,637,2997,2990,2377,1702,1136,862,895
"Idioma extranjero (060)",3,,,,1,1,,,1
"Es sordomudo/a (061)",16,1,7,1,2,3,,1,1
"Hombres (063)",7837,328,1602,1762,1333,978,662,562,610
"Quechua (064)",483,3,53,78,66,53,61,66,103
"Aymara (065)",15,,2,4,3,1,2,2,1
"Ashaninca (066)",1,,,1,,,,,
"Otra lengua nativa (067)",6,,,6,,,,,
"Castellano (068)",7320,324,1544,1673,1261,921,599,493,505
"Idioma extranjero (069)",3,,,,1,1,,,1
"Es sordomudo/a (070)",9,1,3,,2,2,,1,
"Mujeres (072)",6781,318,1497,1371,1184,850,615,430,516
"Quechua (073)",483,3,38,52,63,67,76,60,124
"Aymara (074)",13,2,1,1,5,1,2,,1
"Ashaninca (075)",1,,,,,,,1,
"Otra lengua nativa (076)",1,,1,,,,,,
"Castellano (077)",6276,313,1453,1317,1116,781,537,369,390
"Es sordomudo/a (079)",7,,4,1,,1,,,1
