"CUADRO Nº 30: POBLACIÓN OCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia ISLAY (000)",21240,4645,7547,7268,512,890,378
"Conviviente (001)",6013,885,2777,1957,107,205,82
"Separado(a) (002)",981,206,316,380,19,18,42
"Casado(a) (003)",7871,1933,2164,3154,261,296,63
"Viudo(a) (004)",513,44,162,251,33,13,10
"Divorciado(a) (005)",181,66,29,76,5,1,4
"Soltero(a) (006)",5681,1511,2099,1450,87,357,177
"Hombres (008)",13604,2638,5529,4608,400,391,38
"Conviviente (009)",3922,503,1970,1295,85,62,7
"Separado(a) (010)",403,84,163,140,10,5,1
"Casado(a) (011)",5228,1243,1622,2060,219,81,3
"Viudo(a) (012)",225,23,83,99,17,2,1
"Divorciado(a) (013)",94,31,20,38,3,1,1
"Soltero(a) (014)",3732,754,1671,976,66,240,25
"Mujeres (016)",7636,2007,2018,2660,112,499,340
"Conviviente (017)",2091,382,807,662,22,143,75
"Separado(a) (018)",578,122,153,240,9,13,41
"Casado(a) (019)",2643,690,542,1094,42,215,60
"Viudo(a) (020)",288,21,79,152,16,11,9
"Divorciado(a) (021)",87,35,9,38,2,,3
"Soltero(a) (022)",1949,757,428,474,21,117,152
,,,,,,,
"URBANA (024)",18730,4405,6096,6777,372,711,369
"Conviviente (025)",5207,840,2202,1832,81,172,80
"Separado(a) (026)",890,197,271,353,12,16,41
"Casado(a) (027)",7066,1846,1780,2949,188,241,62
"Viudo(a) (028)",443,42,132,225,23,11,10
"Divorciado(a) (029)",158,64,26,59,4,1,4
"Soltero(a) (030)",4966,1416,1685,1359,64,270,172
"Hombres (032)",11756,2448,4440,4233,288,312,35
"Conviviente (033)",3351,466,1562,1200,63,53,7
"Separado(a) (034)",358,77,141,128,7,4,1
"Casado(a) (035)",4603,1166,1322,1888,154,70,3
"Viudo(a) (036)",183,21,66,82,11,2,1
"Divorciado(a) (037)",82,30,19,29,2,1,1
"Soltero(a) (038)",3179,688,1330,906,51,182,22
"Mujeres (040)",6974,1957,1656,2544,84,399,334
"Conviviente (041)",1856,374,640,632,18,119,73
"Separado(a) (042)",532,120,130,225,5,12,40
"Casado(a) (043)",2463,680,458,1061,34,171,59
"Viudo(a) (044)",260,21,66,143,12,9,9
"Divorciado(a) (045)",76,34,7,30,2,,3
"Soltero(a) (046)",1787,728,355,453,13,88,150
,,,,,,,
"RURAL (048)",2510,240,1451,491,140,179,9
"Conviviente (049)",806,45,575,125,26,33,2
"Separado(a) (050)",91,9,45,27,7,2,1
"Casado(a) (051)",805,87,384,205,73,55,1
"Viudo(a) (052)",70,2,30,26,10,2,
"Divorciado(a) (053)",23,2,3,17,1,,
"Soltero(a) (054)",715,95,414,91,23,87,5
"Hombres (056)",1848,190,1089,375,112,79,3
"Conviviente (057)",571,37,408,95,22,9,
"Separado(a) (058)",45,7,22,12,3,1,
"Casado(a) (059)",625,77,300,172,65,11,
"Viudo(a) (060)",42,2,17,17,6,,
"Divorciado(a) (061)",12,1,1,9,1,,
"Soltero(a) (062)",553,66,341,70,15,58,3
"Mujeres (064)",662,50,362,116,28,100,6
"Conviviente (065)",235,8,167,30,4,24,2
"Separado(a) (066)",46,2,23,15,4,1,1
"Casado(a) (067)",180,10,84,33,8,44,1
"Viudo(a) (068)",28,,13,9,4,2,
"Divorciado(a) (069)",11,1,2,8,,,
"Soltero(a) (070)",162,29,73,21,8,29,2
