"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia HUARI (000)",22082,21355,6529,2210,2137,1841,3194,2426,3018,727
"Católica (001)",18799,18166,5617,1939,1837,1587,2690,2008,2488,633
"Cristiana/Evangélica (002)",3127,3042,854,247,281,245,487,411,517,85
"Otra (003)",76,74,26,11,9,4,10,5,9,2
"Ninguna (004)",80,73,32,13,10,5,7,2,4,7
,,,,,,,,,,
"URBANA (006)",8240,7925,2404,977,962,789,1192,724,877,315
"Católica (007)",7072,6789,2071,870,838,683,1005,608,714,283
"Cristiana/Evangélica (008)",1084,1058,306,92,112,100,178,113,157,26
"Otra (009)",35,34,12,4,6,3,3,2,4,1
"Ninguna (010)",49,44,15,11,6,3,6,1,2,5
,,,,,,,,,,
"RURAL (012)",13842,13430,4125,1233,1175,1052,2002,1702,2141,412
"Católica (013)",11727,11377,3546,1069,999,904,1685,1400,1774,350
"Cristiana/Evangélica (014)",2043,1984,548,155,169,145,309,298,360,59
"Otra (015)",41,40,14,7,3,1,7,3,5,1
"Ninguna (016)",31,29,17,2,4,2,1,1,2,2
