"CUADRO Nº 15: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACIÓN",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia ANTA (000)",16657,1911,15,6020,6447,650,710,338,566
"Empleado (001)",1691,18,,125,545,209,336,117,341
"Obrero (002)",1934,128,2,590,1043,66,48,36,21
"Trabajador independiente (003)",9881,1291,4,4058,3634,308,262,155,169
"Empleador o patrono (004)",359,29,,135,142,14,16,7,16
"Trabajador familiar no remunerado (005)",2606,425,9,1051,994,45,44,21,17
"Trabajador del hogar (006)",186,20,,61,89,8,4,2,2
"Hombres (008)",12217,1121,10,4596,5044,430,424,226,366
"Empleado (009)",1044,3,,74,377,142,171,75,202
"Obrero (010)",1766,100,2,532,971,63,42,35,21
"Trabajador independiente (011)",7629,874,2,3315,2864,184,175,94,121
"Empleador o patrono (012)",312,23,,118,128,13,11,7,12
"Trabajador familiar no remunerado (013)",1430,118,6,547,685,26,24,14,10
"Trabajador del hogar (014)",36,3,,10,19,2,1,1,
"Mujeres (016)",4440,790,5,1424,1403,220,286,112,200
"Empleado (017)",647,15,,51,168,67,165,42,139
"Obrero (018)",168,28,,58,72,3,6,1,
"Trabajador independiente (019)",2252,417,2,743,770,124,87,61,48
"Empleador o patrono (020)",47,6,,17,14,1,5,,4
"Trabajador familiar no remunerado (021)",1176,307,3,504,309,19,20,7,7
"Trabajador del hogar (022)",150,17,,51,70,6,3,1,2
,,,,,,,,,
"URBANA (024)",6326,403,8,1682,2669,444,479,233,408
"Empleado (025)",1121,11,,68,316,138,235,92,261
"Obrero (026)",872,40,1,243,466,49,30,25,18
"Trabajador independiente (027)",3448,273,4,1053,1504,219,182,106,107
"Empleador o patrono (028)",134,7,,40,53,10,10,1,13
"Trabajador familiar no remunerado (029)",660,60,3,250,285,24,21,8,9
"Trabajador del hogar (030)",91,12,,28,45,4,1,1,
"Hombres (032)",4090,159,3,1079,1864,295,277,152,261
"Empleado (033)",689,2,,38,209,99,120,61,160
"Obrero (034)",796,29,1,213,439,47,25,24,18
"Trabajador independiente (035)",2138,108,2,661,999,125,114,60,69
"Empleador o patrono (036)",102,4,,30,42,9,7,1,9
"Trabajador familiar no remunerado (037)",346,14,,129,168,14,11,5,5
"Trabajador del hogar (038)",19,2,,8,7,1,,1,
"Mujeres (040)",2236,244,5,603,805,149,202,81,147
"Empleado (041)",432,9,,30,107,39,115,31,101
"Obrero (042)",76,11,,30,27,2,5,1,
"Trabajador independiente (043)",1310,165,2,392,505,94,68,46,38
"Empleador o patrono (044)",32,3,,10,11,1,3,,4
"Trabajador familiar no remunerado (045)",314,46,3,121,117,10,10,3,4
"Trabajador del hogar (046)",72,10,,20,38,3,1,,
,,,,,,,,,
"RURAL (048)",10331,1508,7,4338,3778,206,231,105,158
"Empleado (049)",570,7,,57,229,71,101,25,80
"Obrero (050)",1062,88,1,347,577,17,18,11,3
"Trabajador independiente (051)",6433,1018,,3005,2130,89,80,49,62
"Empleador o patrono (052)",225,22,,95,89,4,6,6,3
"Trabajador familiar no remunerado (053)",1946,365,6,801,709,21,23,13,8
"Trabajador del hogar (054)",95,8,,33,44,4,3,1,2
"Hombres (056)",8127,962,7,3517,3180,135,147,74,105
"Empleado (057)",355,1,,36,168,43,51,14,42
"Obrero (058)",970,71,1,319,532,16,17,11,3
"Trabajador independiente (059)",5491,766,,2654,1865,59,61,34,52
"Empleador o patrono (060)",210,19,,88,86,4,4,6,3
"Trabajador familiar no remunerado (061)",1084,104,6,418,517,12,13,9,5
"Trabajador del hogar (062)",17,1,,2,12,1,1,,
"Mujeres (064)",2204,546,,821,598,71,84,31,53
"Empleado (065)",215,6,,21,61,28,50,11,38
"Obrero (066)",92,17,,28,45,1,1,,
"Trabajador independiente (067)",942,252,,351,265,30,19,15,10
"Empleador o patrono (068)",15,3,,7,3,,2,,
"Trabajador familiar no remunerado (069)",862,261,,383,192,9,10,4,3
"Trabajador del hogar (070)",78,7,,31,32,3,2,1,2
