"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia MARISCAL RAMON CASTILLA (000)",16835,13686,1637,539,973
"Agric., ganadería, caza y silvicultura (001)",10977,9912,996,61,8
"Pesca (002)",729,655,72,2,
"Explotación de minas y canteras (003)",2,,,1,1
"Industrias manufactureras (004)",643,329,95,65,154
"Suministro de electricidad, gas y agua (005)",9,2,1,5,1
"Construcción (006)",173,101,35,36,1
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1306,1217,76,9,4
"Venta, mant.y rep. veh.autom y motoc. (008)",77,70,3,1,3
"Comercio al por mayor (009)",63,43,18,1,1
"Comercio al por menor (010)",1166,1104,55,7,
"Hoteles y restaurantes (011)",328,300,22,4,2
"Trans., almac. y comunicaciones (012)",250,192,36,14,8
"Intermediación financiera (013)",2,,,1,1
"Activid.inmobil., empres. y alquileres (014)",112,53,14,28,17
"Admin.pub. y defensa; p. segur soc.afil (015)",493,,,,493
"Enseñanza (016)",868,244,209,257,158
"Servicios sociales y de salud (017)",135,20,8,7,100
"Otras activ. serv.comun.soc y personales (018)",153,113,16,19,5
"Hogares privados con servicio doméstico (019)",257,257,,,
"Actividad economica no especificada (021)",398,291,57,30,20
"Hombres (022)",12563,10099,1285,407,772
"Agric., ganadería, caza y silvicultura (023)",8619,7743,812,56,8
"Pesca (024)",699,628,69,2,
"Explotación de minas y canteras (025)",2,,,1,1
"Industrias manufactureras (026)",575,272,91,62,150
"Suministro de electricidad, gas y agua (027)",9,2,1,5,1
"Construcción (028)",171,101,34,35,1
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",738,670,56,8,4
"Venta, mant.y rep. veh.autom y motoc. (030)",71,64,3,1,3
"Comercio al por mayor (031)",49,30,17,1,1
"Comercio al por menor (032)",618,576,36,6,
"Hoteles y restaurantes (033)",67,61,6,,
"Trans., almac. y comunicaciones (034)",242,185,35,14,8
"Intermediación financiera (035)",2,,,1,1
"Activid.inmobil., empres. y alquileres (036)",79,39,8,20,12
"Admin.pub. y defensa; p. segur soc.afil (037)",421,,,,421
"Enseñanza (038)",501,133,114,161,93
"Servicios sociales y de salud (039)",82,17,3,4,58
"Otras activ. serv.comun.soc y personales (040)",88,59,12,14,3
"Hogares privados con servicio doméstico (041)",54,54,,,
