"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia GENERAL SANCHEZ CERRO (000)",7599,24250,3154,10714,4445,13536
"Casa independiente (001)",7144,23199,3013,10349,4131,12850
"Departamento en edificio (002)",3,5,3,5,,
"Vivienda en quinta (003)",6,7,6,7,,
"Vivienda en casa de vecindad (004)",120,332,120,332,,
"Choza o cabaña (005)",308,675,,,308,675
"Vivienda improvisada (006)",2,4,2,4,,
"Local no dest.para hab. humana (007)",10,17,6,8,4,9
"Otro tipo (008)",6,11,4,9,2,2
