"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia SANCHEZ CARRION (000)",46943,45590,14860,5237,4681,4153,6467,4806,5386,1353
"Católica (001)",35772,34681,11583,4140,3618,3152,4832,3495,3861,1091
"Cristiana/Evangélica (002)",9644,9431,2821,933,899,865,1427,1145,1341,213
"Otra (003)",1061,1028,305,102,109,90,138,132,152,33
"Ninguna (004)",466,450,151,62,55,46,70,34,32,16
,,,,,,,,,,
"URBANA (006)",13976,13387,4515,1861,1694,1343,1850,1121,1003,589
"Católica (007)",10508,10028,3454,1472,1289,1030,1334,765,684,480
"Cristiana/Evangélica (008)",2879,2799,882,302,326,264,440,306,279,80
"Otra (009)",383,362,105,53,50,26,51,43,34,21
"Ninguna (010)",206,198,74,34,29,23,25,7,6,8
,,,,,,,,,,
"RURAL (012)",32967,32203,10345,3376,2987,2810,4617,3685,4383,764
"Católica (013)",25264,24653,8129,2668,2329,2122,3498,2730,3177,611
"Cristiana/Evangélica (014)",6765,6632,1939,631,573,601,987,839,1062,133
"Otra (015)",678,666,200,49,59,64,87,89,118,12
"Ninguna (016)",260,252,77,28,26,23,45,27,26,8
