"CUADRO Nº 38: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia PUNO (000)",6046,2009,4037
"Sin nivel (001)",129,15,114
"Educación inicial (002)",6,,6
"Primaria (003)",824,202,622
"Secundaria (004)",2652,1040,1612
"Superior no univ. incompleta (005)",280,90,190
"Superior no univ. completa (006)",658,211,447
"Superior univ. incompleta (007)",281,73,208
"Superior univ. completa (008)",1216,378,838
"De 14 a 29 años (010)",3179,1528,1651
"Sin nivel (011)",12,9,3
"Educación inicial (012)",5,,5
"Primaria (013)",197,108,89
"Secundaria (014)",1680,867,813
"Superior no univ. incompleta (015)",183,68,115
"Superior no univ. completa (016)",371,160,211
"Superior univ. incompleta (017)",155,57,98
"Superior univ. completa (018)",576,259,317
"De 30 a 44 años (020)",1858,424,1434
"Sin nivel (021)",16,2,14
"Educación inicial (022)",1,,1
"Primaria (023)",232,68,164
"Secundaria (024)",705,160,545
"Superior no univ. incompleta (025)",78,20,58
"Superior no univ. completa (026)",243,47,196
"Superior univ. incompleta (027)",81,13,68
"Superior univ. completa (028)",502,114,388
"De 45 a 64 años (030)",849,57,792
"Sin nivel (031)",61,4,57
"Primaria (033)",302,26,276
"Secundaria (034)",252,13,239
"Superior no univ. incompleta (035)",19,2,17
"Superior no univ. completa (036)",39,4,35
"Superior univ. incompleta (037)",45,3,42
"Superior univ. completa (038)",131,5,126
"De 65 y más años (040)",160,,160
"Sin nivel (041)",40,,40
"Primaria (043)",93,,93
"Secundaria (044)",15,,15
"Superior no univ. completa (046)",5,,5
"Superior univ. completa (048)",7,,7
,,,
"AREA URBANA (050)",3823,1160,2663
"Sin nivel (051)",61,8,53
"Educación inicial (052)",4,,4
"Primaria (053)",303,50,253
"Secundaria (054)",1332,464,868
"Superior no univ. incompleta (055)",216,67,149
"Superior no univ. completa (056)",513,157,356
"Superior univ. incompleta (057)",265,70,195
"Superior univ. completa (058)",1129,344,785
"De 14 a 29 años (060)",1968,871,1097
"Sin nivel (061)",3,2,1
"Educación inicial (062)",3,,3
"Primaria (063)",55,22,33
"Secundaria (064)",810,389,421
"Superior no univ. incompleta (065)",142,53,89
"Superior no univ. completa (066)",282,116,166
"Superior univ. incompleta (067)",146,55,91
"Superior univ. completa (068)",527,234,293
"De 30 a 44 años (070)",1242,259,983
"Sin nivel (071)",9,2,7
"Educación inicial (072)",1,,1
"Primaria (073)",82,21,61
"Secundaria (074)",356,69,287
"Superior no univ. incompleta (075)",59,13,46
"Superior no univ. completa (076)",192,37,155
"Superior univ. incompleta (077)",76,12,64
"Superior univ. completa (078)",467,105,362
"De 45 a 64 años (080)",525,30,495
"Sin nivel (081)",32,4,28
"Primaria (083)",121,7,114
"Secundaria (084)",151,6,145
"Superior no univ. incompleta (085)",15,1,14
"Superior no univ. completa (086)",35,4,31
"Superior univ. incompleta (087)",43,3,40
"Superior univ. completa (088)",128,5,123
"De 65 y más años (090)",88,,88
"Sin nivel (091)",17,,17
"Primaria (093)",45,,45
"Secundaria (094)",15,,15
"Superior no univ. completa (096)",4,,4
"Superior univ. completa (098)",7,,7
,,,
"AREA RURAL (100)",2223,849,1374
"Sin nivel (101)",68,7,61
"Educación inicial (102)",2,,2
"Primaria (103)",521,152,369
"Secundaria (104)",1320,576,744
"Superior no univ. incompleta (105)",64,23,41
"Superior no univ. completa (106)",145,54,91
"Superior univ. incompleta (107)",16,3,13
"Superior univ. completa (108)",87,34,53
"De 14 a 29 años (110)",1211,657,554
"Sin nivel (111)",9,7,2
"Educación inicial (112)",2,,2
"Primaria (113)",142,86,56
"Secundaria (114)",870,478,392
"Superior no univ. incompleta (115)",41,15,26
"Superior no univ. completa (116)",89,44,45
"Superior univ. incompleta (117)",9,2,7
"Superior univ. completa (118)",49,25,24
"De 30 a 44 años (120)",616,165,451
"Sin nivel (121)",7,,7
"Primaria (123)",150,47,103
"Secundaria (124)",349,91,258
"Superior no univ. incompleta (125)",19,7,12
"Superior no univ. completa (126)",51,10,41
"Superior univ. incompleta (127)",5,1,4
"Superior univ. completa (128)",35,9,26
"De 45 a 64 años (130)",324,27,297
"Sin nivel (131)",29,,29
"Primaria (133)",181,19,162
"Secundaria (134)",101,7,94
"Superior no univ. incompleta (135)",4,1,3
"Superior no univ. completa (136)",4,,4
"Superior univ. incompleta (137)",2,,2
"Superior univ. completa (138)",3,,3
"De 65 y más años (140)",72,,72
"Sin nivel (141)",23,,23
"Primaria (143)",48,,48
"Superior no univ. completa (146)",1,,1
