"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia BELLAVISTA (000)",44767,5601,1247,24246,11017,825,1079,254,498
"Jefe o Jefa (001)",11686,646,9,6822,3106,299,438,117,249
"Esposa(o)/ compa¤era(o) (002)",8857,953,19,5241,2056,147,286,42,113
"Hijo(a)/ hijastro(a) (003)",17336,2841,987,8823,4141,242,179,67,56
"Yerno/ nuera (004)",708,19,,322,298,27,27,5,10
"Nieto(a) (005)",1613,446,155,754,238,5,6,3,6
"Padres/ suegros (006)",623,220,,373,24,2,3,1,
"Otro(a) pariente (007)",2888,419,70,1481,763,71,49,8,27
"Trabajador(a) del hogar (008)",120,4,,67,49,,,,
"Pensionista (009)",35,,,5,15,1,9,2,3
"Otro(a) no pariente (010)",901,53,7,358,327,31,82,9,34
"Hombres (012)",23876,2360,622,13006,6407,470,557,160,294
"Jefe o Jefa (013)",10145,406,6,6025,2776,249,370,102,211
"Esposa(o)/ compa¤era(o) (014)",312,14,,177,103,6,9,,3
"Hijo(a)/ hijastro(a) (015)",9635,1451,499,4912,2486,135,81,40,31
"Yerno/ nuera (016)",261,3,,109,111,10,18,2,8
"Nieto(a) (017)",902,236,79,425,149,3,4,3,3
"Padres/ suegros (018)",216,33,,168,13,,2,,
"Otro(a) pariente (019)",1733,190,34,904,509,42,31,3,20
"Trabajador(a) del hogar (020)",16,1,,9,6,,,,
"Pensionista (021)",27,,,5,14,1,5,2,
"Otro(a) no pariente (022)",629,26,4,272,240,24,37,8,18
"Mujeres (024)",20891,3241,625,11240,4610,355,522,94,204
"Jefe o Jefa (025)",1541,240,3,797,330,50,68,15,38
"Esposa(o)/ compa¤era(o) (026)",8545,939,19,5064,1953,141,277,42,110
"Hijo(a)/ hijastro(a) (027)",7701,1390,488,3911,1655,107,98,27,25
"Yerno/ nuera (028)",447,16,,213,187,17,9,3,2
"Nieto(a) (029)",711,210,76,329,89,2,2,,3
"Padres/ suegros (030)",407,187,,205,11,2,1,1,
"Otro(a) pariente (031)",1155,229,36,577,254,29,18,5,7
"Trabajador(a) del hogar (032)",104,3,,58,43,,,,
"Pensionista (033)",8,,,,1,,4,,3
"Otro(a) no pariente (034)",272,27,3,86,87,7,45,1,16
,,,,,,,,,
"URBANA (036)",24708,2434,661,11706,7593,715,942,219,438
"Jefe o Jefa (037)",6501,224,3,3245,2058,257,391,98,225
"Esposa(o)/ compa¤era(o) (038)",4867,345,10,2582,1406,128,255,39,102
"Hijo(a)/ hijastro(a) (039)",9415,1268,494,4222,2954,209,159,59,50
"Yerno/ nuera (040)",416,8,,149,200,23,21,5,10
"Nieto(a) (041)",1054,273,112,460,191,4,6,3,5
"Padres/ suegros (042)",351,123,,206,16,2,3,1,
"Otro(a) pariente (043)",1434,161,38,611,487,65,43,7,22
"Trabajador(a) del hogar (044)",104,4,,53,47,,,,
"Pensionista (045)",13,,,2,5,,4,,2
"Otro(a) no pariente (046)",553,28,4,176,229,27,60,7,22
"Hombres (048)",12899,1037,336,5978,4259,405,486,135,263
