"CUADRO Nº 6: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR PERSONAS QUE PERTENECÍAN AL HOGAR Y AHORA VIVEN PERMANENTEMENTE EN OTRO PAÍS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE PERSONAS QUE VIVEN PERMANENTEMENTE EN OTRO PAÍS",,,,,,,NINGUNA
,,1,2,3,4,5,6,"7 Y MÁS",
,,,,,,,,,
"Provincia TACNA",,,,,,,,,
"Hogares (001)",75789,4596,1518,919,698,354,256,180,67268
"Ocupantes presentes (002)",258846,14433,4453,2885,2526,1551,1174,889,230935
"Casa independiente",,,,,,,,,
"Hogares (004)",65935,4029,1338,803,637,323,231,165,58409
"Ocupantes presentes (005)",232477,13189,4012,2548,2293,1431,1075,835,207094
"Departamento en edificio",,,,,,,,,
"Hogares (007)",2296,117,37,40,26,9,5,6,2056
"Ocupantes presentes (008)",6748,309,88,122,102,38,19,14,6056
"Vivienda en quinta",,,,,,,,,
"Hogares (010)",420,31,12,7,,3,,2,365
"Ocupantes presentes (011)",1222,66,49,19,,11,,4,1073
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (013)",458,39,14,6,5,4,1,,389
"Ocupantes presentes (014)",1386,105,27,22,32,16,1,,1183
"Choza o cabaña",,,,,,,,,
"Hogares (016)",1834,61,22,7,6,2,3,,1733
"Ocupantes presentes (017)",4849,142,58,23,16,6,12,,4592
"Vivienda improvisada",,,,,,,,,
"Hogares (019)",4676,311,93,56,24,13,15,7,4157
"Ocupantes presentes (020)",11788,600,213,151,83,49,66,36,10590
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (022)",140,7,2,,,,1,,130
"Ocupantes presentes (023)",306,21,6,,,,1,,278
"Otro tipo",,,,,,,,,
"Hogares (025)",30,1,,,,,,,29
"Ocupantes presentes (026)",70,1,,,,,,,69
,,,,,,,,,
URBANA,,,,,,,,,
"Hogares (028)",70270,4424,1460,886,674,346,244,180,62056
"Ocupantes presentes (029)",242401,14041,4302,2784,2445,1521,1123,889,215296
"Casa independiente",,,,,,,,,
"Hogares (031)",62270,3919,1302,777,619,317,222,165,54949
"Ocupantes presentes (032)",220923,12940,3919,2470,2228,1407,1036,835,196088
"Departamento en edificio",,,,,,,,,
"Hogares (034)",2296,117,37,40,26,9,5,6,2056
"Ocupantes presentes (035)",6748,309,88,122,102,38,19,14,6056
"Vivienda en quinta",,,,,,,,,
"Hogares (037)",420,31,12,7,,3,,2,365
"Ocupantes presentes (038)",1222,66,49,19,,11,,4,1073
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (040)",458,39,14,6,5,4,1,,389
"Ocupantes presentes (041)",1386,105,27,22,32,16,1,,1183
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Hogares (046)",4676,311,93,56,24,13,15,7,4157
"Ocupantes presentes (047)",11788,600,213,151,83,49,66,36,10590
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (049)",132,6,2,,,,1,,123
"Ocupantes presentes (050)",294,20,6,,,,1,,267
"Otro tipo",,,,,,,,,
"Hogares (052)",18,1,,,,,,,17
"Ocupantes presentes (053)",40,1,,,,,,,39
,,,,,,,,,
RURAL,,,,,,,,,
"Hogares (055)",5519,172,58,33,24,8,12,,5212
"Ocupantes presentes (056)",16445,392,151,101,81,30,51,,15639
"Casa independiente",,,,,,,,,
"Hogares (058)",3665,110,36,26,18,6,9,,3460
"Ocupantes presentes (059)",11554,249,93,78,65,24,39,,11006
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Hogares (070)",1834,61,22,7,6,2,3,,1733
"Ocupantes presentes (071)",4849,142,58,23,16,6,12,,4592
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (076)",8,1,,,,,,,7
"Ocupantes presentes (077)",12,1,,,,,,,11
"Otro tipo",,,,,,,,,
"Hogares (079)",12,,,,,,,,12
"Ocupantes presentes (080)",30,,,,,,,,30
