"CUADRO Nº 38: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia CASTROVIRREYNA (000)",174,51,123
"Sin nivel (001)",2,,2
"Primaria (003)",50,13,37
"Secundaria (004)",88,27,61
"Superior no univ. incompleta (005)",12,2,10
"Superior no univ. completa (006)",9,3,6
"Superior univ. incompleta (007)",2,,2
"Superior univ. completa (008)",11,6,5
"De 14 a 29 años (010)",87,40,47
"Sin nivel (011)",1,,1
"Primaria (013)",13,10,3
"Secundaria (014)",55,23,32
"Superior no univ. incompleta (015)",5,1,4
"Superior no univ. completa (016)",5,1,4
"Superior univ. completa (018)",8,5,3
"De 30 a 44 años (020)",49,11,38
"Primaria (023)",15,3,12
"Secundaria (024)",23,4,19
"Superior no univ. incompleta (025)",6,1,5
"Superior no univ. completa (026)",2,2,
"Superior univ. incompleta (027)",1,,1
"Superior univ. completa (028)",2,1,1
"De 45 a 64 años (030)",31,,31
"Sin nivel (031)",1,,1
"Primaria (033)",18,,18
"Secundaria (034)",7,,7
"Superior no univ. incompleta (035)",1,,1
"Superior no univ. completa (036)",2,,2
"Superior univ. incompleta (037)",1,,1
"Superior univ. completa (038)",1,,1
"De 65 y más años (040)",7,,7
"Primaria (043)",4,,4
"Secundaria (044)",3,,3
,,,
"AREA URBANA (050)",84,24,60
"Primaria (053)",16,1,15
"Secundaria (054)",42,14,28
"Superior no univ. incompleta (055)",9,1,8
"Superior no univ. completa (056)",7,3,4
"Superior univ. incompleta (057)",1,,1
"Superior univ. completa (058)",9,5,4
"De 14 a 29 años (060)",42,17,25
"Primaria (063)",3,1,2
"Secundaria (064)",27,11,16
"Superior no univ. incompleta (065)",3,,3
"Superior no univ. completa (066)",3,1,2
"Superior univ. completa (068)",6,4,2
"De 30 a 44 años (070)",22,7,15
"Primaria (073)",4,,4
"Secundaria (074)",8,3,5
"Superior no univ. incompleta (075)",5,1,4
"Superior no univ. completa (076)",2,2,
"Superior univ. incompleta (077)",1,,1
"Superior univ. completa (078)",2,1,1
"De 45 a 64 años (080)",15,,15
"Primaria (083)",5,,5
"Secundaria (084)",6,,6
"Superior no univ. incompleta (085)",1,,1
"Superior no univ. completa (086)",2,,2
"Superior univ. completa (088)",1,,1
"De 65 y más años (090)",5,,5
"Primaria (093)",4,,4
"Secundaria (094)",1,,1
,,,
"AREA RURAL (100)",90,27,63
"Sin nivel (101)",2,,2
"Primaria (103)",34,12,22
"Secundaria (104)",46,13,33
"Superior no univ. incompleta (105)",3,1,2
"Superior no univ. completa (106)",2,,2
"Superior univ. incompleta (107)",1,,1
"Superior univ. completa (108)",2,1,1
"De 14 a 29 años (110)",45,23,22
"Sin nivel (111)",1,,1
"Primaria (113)",10,9,1
"Secundaria (114)",28,12,16
"Superior no univ. incompleta (115)",2,1,1
"Superior no univ. completa (116)",2,,2
"Superior univ. completa (118)",2,1,1
"De 30 a 44 años (120)",27,4,23
"Primaria (123)",11,3,8
"Secundaria (124)",15,1,14
"Superior no univ. incompleta (125)",1,,1
"De 45 a 64 años (130)",16,,16
"Sin nivel (131)",1,,1
"Primaria (133)",13,,13
"Secundaria (134)",1,,1
"Superior univ. incompleta (137)",1,,1
"De 65 y más años (140)",2,,2
"Secundaria (144)",2,,2
