"CUADRO Nº 39: POBLACIÓN ECONÓMICAMENTE INACTIVA DE 6 Y MÁS AÑOS , POR ACTIVIDAD NO LABORAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"ACTIVIDAD NO LABORAL",,,,,,,,
,,"ESTUDIANDO Y NO TRABAJO","VIVIENDO DE SU PENSIÓN Y JUBILACIÓN","VIVIENDO DE SUS RENTAS","AL CUIDADO DE SU HOGAR","POR SU EDAD","DE VIAJE",DISCAPACITADO,"SERVICIO MILITAR",OTRA
,,,,,,,,,,
"Provincia CHINCHEROS (000)",31856,16763,124,288,13299,426,23,110,2,821
"Hombres (001)",12165,8640,97,141,2351,224,14,68,2,628
"Mujeres (002)",19691,8123,27,147,10948,202,9,42,,193
"De 06 a 14 años (003)",12672,12359,,,185,50,1,15,,62
"Hombres (004)",6400,6252,,,75,30,,8,,35
"Mujeres (005)",6272,6107,,,110,20,1,7,,27
"De 15 a 29 años (006)",8044,4315,,84,3412,,11,19,2,201
"Hombres (007)",3051,2351,,32,501,,6,11,2,148
"Mujeres (008)",4993,1964,,52,2911,,5,8,,53
"De 30 a 44 años (009)",4196,58,7,66,3869,,3,14,,179
"Hombres (010)",780,27,5,29,551,,1,9,,158
"Mujeres (011)",3416,31,2,37,3318,,2,5,,21
"De 45 a 64 años (012)",3765,25,39,69,3413,9,7,25,,178
"Hombres (013)",823,9,30,38,570,7,6,14,,149
"Mujeres (014)",2942,16,9,31,2843,2,1,11,,29
"De 65 y más años (015)",3179,6,78,69,2420,367,1,37,,201
"Hombres (016)",1111,1,62,42,654,187,1,26,,138
"Mujeres (017)",2068,5,16,27,1766,180,,11,,63
,,,,,,,,,,
"AREA URBANA (018)",9360,5364,73,112,3533,87,2,25,,164
"Hombres (019)",3671,2679,51,46,737,35,,18,,105
"Mujeres (020)",5689,2685,22,66,2796,52,2,7,,59
"De 06 a 14 años (021)",4004,3893,,,74,19,1,6,,11
"Hombres (022)",1977,1920,,,37,12,,3,,5
"Mujeres (023)",2027,1973,,,37,7,1,3,,6
"De 15 a 29 años (024)",2400,1445,,29,882,,,5,,39
"Hombres (025)",941,747,,10,156,,,5,,23
"Mujeres (026)",1459,698,,19,726,,,,,16
"De 30 a 44 años (027)",1217,21,5,26,1132,,1,1,,31
"Hombres (028)",245,10,4,12,195,,,1,,23
"Mujeres (029)",972,11,1,14,937,,1,,,8
"De 45 a 64 años (030)",967,5,24,26,863,,,8,,41
"Hombres (031)",236,2,15,11,173,,,4,,31
"Mujeres (032)",731,3,9,15,690,,,4,,10
"De 65 y más años (033)",772,,44,31,582,68,,5,,42
"Hombres (034)",272,,32,13,176,23,,5,,23
"Mujeres (035)",500,,12,18,406,45,,,,19
,,,,,,,,,,
"AREA RURAL (036)",22496,11399,51,176,9766,339,21,85,2,657
"Hombres (037)",8494,5961,46,95,1614,189,14,50,2,523
"Mujeres (038)",14002,5438,5,81,8152,150,7,35,,134
"De 06 a 14 años (039)",8668,8466,,,111,31,,9,,51
"Hombres (040)",4423,4332,,,38,18,,5,,30
"Mujeres (041)",4245,4134,,,73,13,,4,,21
"De 15 a 29 años (042)",5644,2870,,55,2530,,11,14,2,162
"Hombres (043)",2110,1604,,22,345,,6,6,2,125
"Mujeres (044)",3534,1266,,33,2185,,5,8,,37
"De 30 a 44 años (045)",2979,37,2,40,2737,,2,13,,148
"Hombres (046)",535,17,1,17,356,,1,8,,135
"Mujeres (047)",2444,20,1,23,2381,,1,5,,13
"De 45 a 64 años (048)",2798,20,15,43,2550,9,7,17,,137
"Hombres (049)",587,7,15,27,397,7,6,10,,118
"Mujeres (050)",2211,13,,16,2153,2,1,7,,19
"De 65 y más años (051)",2407,6,34,38,1838,299,1,32,,159
"Hombres (052)",839,1,30,29,478,164,1,21,,115
"Mujeres (053)",1568,5,4,9,1360,135,,11,,44
