"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia SAN PABLO (000)",5923,5083,339,112,389
"Hombres (001)",4604,4017,262,87,238
"Mujeres (002)",1319,1066,77,25,151
"De 06 a 14 años (003)",172,166,5,1,
"Hombres (004)",95,91,3,1,
"Mujeres (005)",77,75,2,,
"De 15 a 29 años (006)",1825,1625,110,33,57
"Hombres (007)",1419,1267,87,28,37
"Mujeres (008)",406,358,23,5,20
"De 30 a 44 años (009)",1981,1569,137,49,226
"Hombres (010)",1495,1232,104,34,125
"Mujeres (011)",486,337,33,15,101
"De 45 a 64 años (012)",1455,1251,76,25,103
"Hombres (013)",1170,1015,59,22,74
"Mujeres (014)",285,236,17,3,29
"De 65 y más años (015)",490,472,11,4,3
"Hombres (016)",425,412,9,2,2
"Mujeres (017)",65,60,2,2,1
,,,,,
"URBANA (018)",1184,711,94,73,306
"Hombres (019)",748,460,63,52,173
"Mujeres (020)",436,251,31,21,133
"De 06 a 14 años (021)",20,17,2,1,
"Hombres (022)",11,10,,1,
"Mujeres (023)",9,7,2,,
"De 15 a 29 años (024)",283,205,24,17,37
"Hombres (025)",187,135,18,13,21
"Mujeres (026)",96,70,6,4,16
"De 30 a 44 años (027)",511,246,47,35,183
"Hombres (028)",298,151,31,23,93
"Mujeres (029)",213,95,16,12,90
"De 45 a 64 años (030)",305,184,20,17,84
"Hombres (031)",203,118,13,14,58
"Mujeres (032)",102,66,7,3,26
"De 65 y más años (033)",65,59,1,3,2
"Hombres (034)",49,46,1,1,1
"Mujeres (035)",16,13,,2,1
,,,,,
"RURAL (036)",4739,4372,245,39,83
"Hombres (037)",3856,3557,199,35,65
"Mujeres (038)",883,815,46,4,18
"De 06 a 14 años (039)",152,149,3,,
"Hombres (040)",84,81,3,,
"Mujeres (041)",68,68,,,
"De 15 a 29 años (042)",1542,1420,86,16,20
"Hombres (043)",1232,1132,69,15,16
"Mujeres (044)",310,288,17,1,4
"De 30 a 44 años (045)",1470,1323,90,14,43
"Hombres (046)",1197,1081,73,11,32
"Mujeres (047)",273,242,17,3,11
"De 45 a 64 años (048)",1150,1067,56,8,19
"Hombres (049)",967,897,46,8,16
"Mujeres (050)",183,170,10,,3
"De 65 y más años (051)",425,413,10,1,1
"Hombres (052)",376,366,8,1,1
"Mujeres (053)",49,47,2,,
