"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia HUANTA (000)",32266,31494,9556,4136,3597,3035,4770,3263,3137,772
"Católica (001)",22550,21971,6672,3016,2605,2159,3201,2211,2107,579
"Cristiana/Evangélica (002)",9253,9080,2715,1055,932,834,1518,1023,1003,173
"Otra (003)",164,158,52,16,21,16,22,16,15,6
"Ninguna (004)",299,285,117,49,39,26,29,13,12,14
,,,,,,,,,,
"URBANA (006)",15622,15167,5062,2163,1851,1522,2042,1321,1206,455
"Católica (007)",11750,11370,3752,1715,1448,1164,1493,969,829,380
"Cristiana/Evangélica (008)",3563,3501,1190,403,359,334,516,338,361,62
"Otra (009)",119,114,40,13,17,11,16,7,10,5
"Ninguna (010)",190,182,80,32,27,13,17,7,6,8
,,,,,,,,,,
"RURAL (012)",16644,16327,4494,1973,1746,1513,2728,1942,1931,317
"Católica (013)",10800,10601,2920,1301,1157,995,1708,1242,1278,199
"Cristiana/Evangélica (014)",5690,5579,1525,652,573,500,1002,685,642,111
"Otra (015)",45,44,12,3,4,5,6,9,5,1
"Ninguna (016)",109,103,37,17,12,13,12,6,6,6
