"CUADRO Nº 3: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA PARTICULAR",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL Y TIPO DE VIVIENDA PARTICULAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia PAUCAR DEL SARA SARA (000)",10758,173,3282,2286,1859,1737,1421
"Casa independiente (001)",9851,153,2946,2060,1707,1636,1349
"Vivienda en quinta (003)",37,,14,10,6,3,4
"Vivienda en casa de vecindad (004)",298,9,81,90,72,33,13
"Choza o cabaña (005)",562,11,239,122,71,64,55
"Vivienda improvisada (006)",5,,2,3,,,
"Local no destinado para hab.humana (007)",5,,,1,3,1,
,,,,,,,
"URBANA (009)",7318,129,2251,1606,1309,1154,869
"Casa independiente (010)",6974,120,2154,1502,1229,1117,852
"Vivienda en quinta (012)",37,,14,10,6,3,4
"Vivienda en casa de vecindad (013)",298,9,81,90,72,33,13
"Vivienda improvisada (015)",5,,2,3,,,
"Local no destinado para hab.humana (016)",4,,,1,2,1,
,,,,,,,
"RURAL (018)",3440,44,1031,680,550,583,552
"Casa independiente (019)",2877,33,792,558,478,519,497
"Choza o cabaña (023)",562,11,239,122,71,64,55
"Local no destinado para hab.humana (025)",1,,,,1,,
