"CUADRO Nº 2: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR VARIEDAD DE ARTEFACTOS Y EQUIPOS QUE POSEE, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,
,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"ARTEFACTOS Y EQUIPOS QUE POSEE EL HOGAR",,,,,,
,,RADIO,"TELEVISOR A COLOR","EQUIPO DE SONIDO","LAVADORA DE ROPA","REFRIGERADORA O CONGELADORA",COMPUTADORA,NINGUNO
,,,,,,,,
"Provincia SANTA CRUZ",,,,,,,,
"Hogares (001)",10960,8612,1744,442,34,337,218,2043
"Ocupantes presentes (002)",43553,35515,7204,1863,152,1413,906,6863
"Casa independiente",,,,,,,,
"Hogares (004)",10534,8291,1723,436,28,334,215,1941
"Ocupantes presentes (005)",41928,34241,7110,1832,127,1405,887,6520
"Departamento en edificio",,,,,,,,
"Hogares (007)",5,4,3,2,,1,1,1
"Ocupantes presentes (008)",23,12,8,4,,3,4,11
"Vivienda en quinta",,,,,,,,
"Hogares (010)",12,8,6,2,,1,1,4
"Ocupantes presentes (011)",40,27,24,14,,4,3,13
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (013)",7,3,3,2,,1,1,3
"Ocupantes presentes (014)",29,15,15,13,,1,12,12
"Choza o cabaña",,,,,,,,
"Hogares (016)",393,301,8,,6,,,90
"Ocupantes presentes (017)",1512,1207,44,,25,,,299
"Vivienda improvisada",,,,,,,,
"Hogares (019)",1,,,,,,,1
"Ocupantes presentes (020)",1,,,,,,,1
"Local no dest.para hab. humana",,,,,,,,
"Hogares (022)",7,5,1,,,,,2
"Ocupantes presentes (023)",18,13,3,,,,,5
"Otro tipo",,,,,,,,
"Hogares (025)",1,,,,,,,1
"Ocupantes presentes (026)",2,,,,,,,2
,,,,,,,,
URBANA,,,,,,,,
"Hogares (028)",2362,1802,1226,356,28,307,201,343
"Ocupantes presentes (029)",8890,7074,4920,1476,127,1290,843,991
"Casa independiente",,,,,,,,
"Hogares (031)",2331,1783,1213,350,28,304,198,332
"Ocupantes presentes (032)",8781,7010,4870,1445,127,1282,824,948
"Departamento en edificio",,,,,,,,
"Hogares (034)",5,4,3,2,,1,1,1
"Ocupantes presentes (035)",23,12,8,4,,3,4,11
"Vivienda en quinta",,,,,,,,
"Hogares (037)",12,8,6,2,,1,1,4
"Ocupantes presentes (038)",40,27,24,14,,4,3,13
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (040)",7,3,3,2,,1,1,3
"Ocupantes presentes (041)",29,15,15,13,,1,12,12
"Choza o cabaña",,,,,,,,
"Vivienda improvisada",,,,,,,,
"Hogares (046)",1,,,,,,,1
"Ocupantes presentes (047)",1,,,,,,,1
"Local no dest.para hab. humana",,,,,,,,
"Hogares (049)",5,4,1,,,,,1
"Ocupantes presentes (050)",14,10,3,,,,,4
"Otro tipo",,,,,,,,
"Hogares (052)",1,,,,,,,1
"Ocupantes presentes (053)",2,,,,,,,2
,,,,,,,,
RURAL,,,,,,,,
"Hogares (055)",8598,6810,518,86,6,30,17,1700
"Ocupantes presentes (056)",34663,28441,2284,387,25,123,63,5872
"Casa independiente",,,,,,,,
"Hogares (058)",8203,6508,510,86,,30,17,1609
"Ocupantes presentes (059)",33147,27231,2240,387,,123,63,5572
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Choza o cabaña",,,,,,,,
"Hogares (070)",393,301,8,,6,,,90
"Ocupantes presentes (071)",1512,1207,44,,25,,,299
"Vivienda improvisada",,,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Hogares (076)",2,1,,,,,,1
"Ocupantes presentes (077)",4,3,,,,,,1
"Otro tipo",,,,,,,,
