"CUADRO Nº 1: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia HUANCAVELICA (000)",122668,35196,38679,22954,17600,8239
"Hombres (001)",59474,17861,18699,10878,8340,3696
"Mujeres (002)",63194,17335,19980,12076,9260,4543
"PEA (003)",48354,875,16880,16160,11232,3207
"Hombres (004)",29967,459,10077,10017,7241,2173
"Mujeres (005)",18387,416,6803,6143,3991,1034
"Ocupada (006)",45014,834,14965,15366,10762,3087
"Hombres (007)",27589,435,8852,9421,6815,2066
"Mujeres (008)",17425,399,6113,5945,3947,1021
"Desocupada (009)",3340,41,1915,794,470,120
"Hombres (010)",2378,24,1225,596,426,107
"Mujeres (011)",962,17,690,198,44,13
"No PEA (012)",74314,34321,21799,6794,6368,5032
"Hombres (013)",29507,17402,8622,861,1099,1523
"Mujeres (014)",44807,16919,13177,5933,5269,3509
,,,,,,
"URBANA (018)",52991,13122,18129,11117,7468,3155
"Hombres (019)",25679,6740,8842,5251,3521,1325
"Mujeres (020)",27312,6382,9287,5866,3947,1830
"PEA (021)",20218,205,6592,7935,4645,841
"Hombres (022)",12224,125,3953,4712,2904,530
"Mujeres (023)",7994,80,2639,3223,1741,311
"Ocupada (024)",18471,195,5581,7483,4420,792
"Hombres (025)",11058,120,3351,4389,2709,489
"Mujeres (026)",7413,75,2230,3094,1711,303
"Desocupada (027)",1747,10,1011,452,225,49
"Hombres (028)",1166,5,602,323,195,41
"Mujeres (029)",581,5,409,129,30,8
"No PEA (030)",32773,12917,11537,3182,2823,2314
"Hombres (031)",13455,6615,4889,539,617,795
"Mujeres (032)",19318,6302,6648,2643,2206,1519
,,,,,,
"RURAL (036)",69677,22074,20550,11837,10132,5084
"Hombres (037)",33795,11121,9857,5627,4819,2371
"Mujeres (038)",35882,10953,10693,6210,5313,2713
"PEA (039)",28136,670,10288,8225,6587,2366
"Hombres (040)",17743,334,6124,5305,4337,1643
"Mujeres (041)",10393,336,4164,2920,2250,723
"Ocupada (042)",26543,639,9384,7883,6342,2295
"Hombres (043)",16531,315,5501,5032,4106,1577
"Mujeres (044)",10012,324,3883,2851,2236,718
"Desocupada (045)",1593,31,904,342,245,71
"Hombres (046)",1212,19,623,273,231,66
"Mujeres (047)",381,12,281,69,14,5
"No PEA (048)",41541,21404,10262,3612,3545,2718
"Hombres (049)",16052,10787,3733,322,482,728
"Mujeres (050)",25489,10617,6529,3290,3063,1990
