"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia HUALGAYOC (000)",82784,21397,2014,41746,13591,1138,1900,340,658
"Jefe o Jefa (001)",22499,5963,16,12185,2886,270,746,91,342
"Esposa(o)/ compa¤era(o) (002)",15433,7660,25,5969,1077,125,415,35,127
"Hijo(a)/ hijastro(a) (003)",34586,5170,1576,18778,7757,541,489,168,107
"Yerno/ nuera (004)",1658,180,,880,450,38,82,12,16
"Nieto(a) (005)",3882,887,311,2061,572,29,9,8,5
"Padres/ suegros (006)",862,695,,149,15,1,1,,1
"Otro(a) pariente (007)",3349,748,83,1513,708,100,130,20,47
"Trabajador(a) del hogar (008)",116,20,,65,26,3,2,,
"Pensionista (009)",10,2,,2,6,,,,
"Otro(a) no pariente (010)",389,72,3,144,94,31,26,6,13
"Hombres (012)",39510,5950,1003,21981,8363,608,1007,208,390
"Jefe o Jefa (013)",17190,2833,12,10650,2532,201,614,75,273
"Esposa(o)/ compa¤era(o) (014)",388,62,1,176,86,11,31,5,16
"Hijo(a)/ hijastro(a) (015)",17253,2226,804,8875,4681,280,238,95,54
"Yerno/ nuera (016)",755,35,,390,236,22,55,8,9
"Nieto(a) (017)",1878,415,141,967,326,15,4,6,4
"Padres/ suegros (018)",213,111,,94,6,,1,,1
"Otro(a) pariente (019)",1614,245,44,752,426,52,52,15,28
"Trabajador(a) del hogar (020)",9,1,,2,3,2,1,,
"Pensionista (021)",6,1,,1,4,,,,
"Otro(a) no pariente (022)",204,21,1,74,63,25,11,4,5
"Mujeres (024)",43274,15447,1011,19765,5228,530,893,132,268
"Jefe o Jefa (025)",5309,3130,4,1535,354,69,132,16,69
"Esposa(o)/ compa¤era(o) (026)",15045,7598,24,5793,991,114,384,30,111
"Hijo(a)/ hijastro(a) (027)",17333,2944,772,9903,3076,261,251,73,53
"Yerno/ nuera (028)",903,145,,490,214,16,27,4,7
"Nieto(a) (029)",2004,472,170,1094,246,14,5,2,1
"Padres/ suegros (030)",649,584,,55,9,1,,,
"Otro(a) pariente (031)",1735,503,39,761,282,48,78,5,19
"Trabajador(a) del hogar (032)",107,19,,63,23,1,1,,
"Pensionista (033)",4,1,,1,2,,,,
"Otro(a) no pariente (034)",185,51,2,70,31,6,15,2,8
,,,,,,,,,
"URBANA (036)",17987,2934,403,6773,4620,804,1580,278,595
"Jefe o Jefa (037)",5076,737,7,1977,1124,207,635,76,313
"Esposa(o)/ compa¤era(o) (038)",3182,920,10,1040,556,106,397,32,121
"Hijo(a)/ hijastro(a) (039)",6888,773,300,2752,2186,325,339,130,83
"Yerno/ nuera (040)",365,29,,88,143,24,58,10,13
"Nieto(a) (041)",790,167,70,360,158,19,7,4,5
"Padres/ suegros (042)",194,132,,49,11,1,1,,
"Otro(a) pariente (043)",1141,140,16,373,334,91,120,20,47
"Trabajador(a) del hogar (044)",92,11,,53,23,3,2,,
"Pensionista (045)",9,2,,2,5,,,,
"Otro(a) no pariente (046)",250,23,,79,80,28,21,6,13
