"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia OXAPAMPA (000)",76072,11016,1746,34932,20598,1914,1944,1337,2585
"Quechua (001)",5906,1884,41,3123,662,45,45,23,83
"Aymara (002)",115,27,1,50,25,3,2,,7
"Ashaninca (003)",6193,1725,71,3402,891,36,35,15,18
"Otra lengua nativa (004)",1787,304,13,1050,314,35,19,20,32
"Castellano (005)",61869,6939,1616,27264,18697,1795,1841,1277,2440
"Idioma extranjero (006)",11,,,1,3,,1,1,5
"Es sordomudo/a (007)",191,137,4,42,6,,1,1,
"Hombres (009)",40350,4824,845,18721,11828,1045,898,788,1401
"Quechua (010)",3166,618,14,1908,484,33,35,15,59
"Aymara (011)",56,8,,26,15,1,,,6
"Ashaninca (012)",3132,802,23,1730,512,23,22,7,13
"Otra lengua nativa (013)",955,127,4,570,178,27,14,15,20
"Castellano (014)",32937,3206,802,14461,10631,961,826,749,1301
"Idioma extranjero (015)",7,,,,3,,1,1,2
"Es sordomudo/a (016)",97,63,2,26,5,,,1,
"Mujeres (018)",35722,6192,901,16211,8770,869,1046,549,1184
"Quechua (019)",2740,1266,27,1215,178,12,10,8,24
"Aymara (020)",59,19,1,24,10,2,2,,1
"Ashaninca (021)",3061,923,48,1672,379,13,13,8,5
"Otra lengua nativa (022)",832,177,9,480,136,8,5,5,12
"Castellano (023)",28932,3733,814,12803,8066,834,1015,528,1139
"Idioma extranjero (024)",4,,,1,,,,,3
"Es sordomudo/a (025)",94,74,2,16,1,,1,,
,,,,,,,,,
"URBANA (027)",29079,2353,761,9569,10520,1366,1456,1027,2027
"Quechua (028)",1542,399,8,692,308,32,28,12,63
"Aymara (029)",35,4,,13,11,3,1,,3
"Ashaninca (030)",370,54,1,160,99,21,18,7,10
"Otra lengua nativa (031)",100,8,1,34,34,6,5,4,8
"Castellano (032)",26983,1871,748,8653,10064,1304,1403,1002,1938
"Idioma extranjero (033)",7,,,1,,,,1,5
"Es sordomudo/a (034)",42,17,3,16,4,,1,1,
"Hombres (036)",15102,944,383,4874,5821,733,674,589,1084
"Quechua (037)",814,86,4,417,212,24,21,6,44
"Aymara (038)",16,,,6,7,1,,,2
"Ashaninca (039)",176,19,,69,57,10,10,4,7
"Otra lengua nativa (040)",51,3,1,16,18,4,2,2,5
"Castellano (041)",14019,830,377,4354,5524,694,641,575,1024
"Idioma extranjero (042)",3,,,,,,,1,2
"Es sordomudo/a (043)",23,6,1,12,3,,,1,
"Mujeres (045)",13977,1409,378,4695,4699,633,782,438,943
"Quechua (046)",728,313,4,275,96,8,7,6,19
"Aymara (047)",19,4,,7,4,2,1,,1
"Ashaninca (048)",194,35,1,91,42,11,8,3,3
"Otra lengua nativa (049)",49,5,,18,16,2,3,2,3
"Castellano (050)",12964,1041,371,4299,4540,610,762,427,914
"Idioma extranjero (051)",4,,,1,,,,,3
"Es sordomudo/a (052)",19,11,2,4,1,,1,,
,,,,,,,,,
"RURAL (054)",46993,8663,985,25363,10078,548,488,310,558
"Quechua (055)",4364,1485,33,2431,354,13,17,11,20
"Aymara (056)",80,23,1,37,14,,1,,4
"Ashaninca (057)",5823,1671,70,3242,792,15,17,8,8
"Otra lengua nativa (058)",1687,296,12,1016,280,29,14,16,24
"Castellano (059)",34886,5068,868,18611,8633,491,438,275,502
"Idioma extranjero (060)",4,,,,3,,1,,
"Es sordomudo/a (061)",149,120,1,26,2,,,,
"Hombres (063)",25248,3880,462,13847,6007,312,224,199,317
"Quechua (064)",2352,532,10,1491,272,9,14,9,15
"Aymara (065)",40,8,,20,8,,,,4
"Ashaninca (066)",2956,783,23,1661,455,13,12,3,6
"Otra lengua nativa (067)",904,124,3,554,160,23,12,13,15
"Castellano (068)",18918,2376,425,10107,5107,267,185,174,277
"Idioma extranjero (069)",4,,,,3,,1,,
"Es sordomudo/a (070)",74,57,1,14,2,,,,
"Mujeres (072)",21745,4783,523,11516,4071,236,264,111,241
"Quechua (073)",2012,953,23,940,82,4,3,2,5
"Aymara (074)",40,15,1,17,6,,1,,
"Ashaninca (075)",2867,888,47,1581,337,2,5,5,2
"Otra lengua nativa (076)",783,172,9,462,120,6,2,3,9
"Castellano (077)",15968,2692,443,8504,3526,224,253,101,225
"Es sordomudo/a (079)",75,63,,12,,,,,
