"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia CHINCHEROS (000)",25138,3793,8076,7332,5937
"Asiste actualmente (001)",19181,2157,7820,6888,2316
"No asiste (002)",5957,1636,256,444,3621
"Hombres (004)",12752,1897,4089,3772,2994
"Asiste actualmente (005)",9928,1066,3945,3567,1350
"No asiste (006)",2824,831,144,205,1644
"Mujeres (008)",12386,1896,3987,3560,2943
"Asiste actualmente (009)",9253,1091,3875,3321,966
"No asiste (010)",3133,805,112,239,1977
,,,,,
"URBANA (012)",7903,1201,2562,2353,1787
"Asiste actualmente (013)",6238,673,2479,2250,836
"No asiste (014)",1665,528,83,103,951
"Hombres (016)",3922,594,1261,1195,872
"Asiste actualmente (017)",3143,335,1213,1149,446
"No asiste (018)",779,259,48,46,426
"Mujeres (020)",3981,607,1301,1158,915
"Asiste actualmente (021)",3095,338,1266,1101,390
"No asiste (022)",886,269,35,57,525
,,,,,
"RURAL (024)",17235,2592,5514,4979,4150
"Asiste actualmente (025)",12943,1484,5341,4638,1480
"No asiste (026)",4292,1108,173,341,2670
"Hombres (028)",8830,1303,2828,2577,2122
"Asiste actualmente (029)",6785,731,2732,2418,904
"No asiste (030)",2045,572,96,159,1218
"Mujeres (032)",8405,1289,2686,2402,2028
"Asiste actualmente (033)",6158,753,2609,2220,576
"No asiste (034)",2247,536,77,182,1452
