"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia SAN MARCOS (000)",14442,12749,974,356,363
"Sin nivel (001)",1704,1648,43,5,8
"Educación inicial (002)",28,22,5,,1
"Primaria (003)",8135,7707,326,60,42
"Secundaria (004)",2566,2295,136,57,78
"Superior no univ. incompleta (005)",279,210,33,16,20
"Superior no univ. completa (006)",893,472,233,111,77
"Superior univ. incompleta (007)",188,113,34,13,28
"Superior univ. completa (008)",649,282,164,94,109
"De 06 a 14 años (010)",563,497,59,7,
"Sin nivel (011)",45,42,3,,
"Educación inicial (012)",10,6,4,,
"Primaria (013)",461,405,51,5,
"Secundaria (014)",47,44,1,2,
"De 15 a 29 años (020)",4626,4102,299,104,121
"Sin nivel (021)",283,268,11,1,3
"Educación inicial (022)",11,9,1,,1
"Primaria (023)",2490,2340,111,27,12
"Secundaria (024)",1250,1117,73,29,31
"Superior no univ. incompleta (025)",118,93,13,3,9
"Superior no univ. completa (026)",235,141,50,23,21
"Superior univ. incompleta (027)",81,51,12,7,11
"Superior univ. completa (028)",158,83,28,14,33
"De 30 a 44 años (030)",4672,3935,425,150,162
"Sin nivel (031)",434,414,16,1,3
"Educación inicial (032)",7,7,,,
"Primaria (033)",2337,2207,102,15,13
"Secundaria (034)",859,772,37,16,34
"Superior no univ. incompleta (035)",115,85,14,8,8
"Superior no univ. completa (036)",508,265,143,59,41
"Superior univ. incompleta (037)",81,49,17,4,11
"Superior univ. completa (038)",331,136,96,47,52
"De 45 a 64 años (040)",3355,3022,166,91,76
"Sin nivel (041)",574,563,8,2,1
"Primaria (043)",2053,1973,52,12,16
"Secundaria (044)",372,331,19,10,12
"Superior no univ. incompleta (045)",41,28,6,4,3
"Superior no univ. completa (046)",143,61,39,28,15
"Superior univ. incompleta (047)",24,12,5,2,5
"Superior univ. completa (048)",148,54,37,33,24
"De 65 y más años (050)",1226,1193,25,4,4
"Sin nivel (051)",368,361,5,1,1
"Primaria (053)",794,782,10,1,1
"Secundaria (054)",38,31,6,,1
"Superior no univ. incompleta (055)",5,4,,1,
"Superior no univ. completa (056)",7,5,1,1,
"Superior univ. incompleta (057)",2,1,,,1
"Superior univ. completa (058)",12,9,3,,
,,,,,
"URBANA (060)",4343,3213,585,265,280
