"CUADRO Nº 17: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE ABASTECIMIENTO DE AGUA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL; Y TIPO DE ABASTECIMIENTO DE AGUA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia ZARUMILLA (000)",10243,7753,2490
"Red pública dentro de la vivienda (001)",5750,5115,635
"Red pública fuera de la vivienda (002)",972,710,262
"Pilón de uso público (003)",970,465,505
"Camión - cisterna u otro similar (004)",120,47,73
"Pozo (005)",547,427,120
"Río, acequia, manatial o similar (006)",115,68,47
"Vecino (007)",1513,781,732
"Otro (008)",256,140,116
,,,
"URBANA (010)",9281,7179,2102
"Red pública dentro de la vivienda (011)",5433,4878,555
"Red pública fuera de la vivienda (012)",822,626,196
"Pilón de uso público (013)",910,436,474
"Camión - cisterna u otro similar (014)",26,10,16
"Pozo (015)",394,328,66
"Río, acequia, manatial o similar (016)",13,7,6
"Vecino (017)",1429,755,674
"Otro (018)",254,139,115
,,,
"RURAL (020)",962,574,388
"Red pública dentro de la vivienda (021)",317,237,80
"Red pública fuera de la vivienda (022)",150,84,66
"Pilón de uso público (023)",60,29,31
"Camión - cisterna u otro similar (024)",94,37,57
"Pozo (025)",153,99,54
"Río, acequia, manatial o similar (026)",102,61,41
"Vecino (027)",84,26,58
"Otro (028)",2,1,1
