"CUADRO Nº 2: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR VARIEDAD DE ARTEFACTOS Y EQUIPOS QUE POSEE, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,
,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"ARTEFACTOS Y EQUIPOS QUE POSEE EL HOGAR",,,,,,
,,RADIO,"TELEVISOR A COLOR","EQUIPO DE SONIDO","LAVADORA DE ROPA","REFRIGERADORA O CONGELADORA",COMPUTADORA,NINGUNO
,,,,,,,,
"Provincia CAÑETE",,,,,,,,
"Hogares (001)",50260,36223,35821,13096,3524,16262,3853,5458
"Ocupantes presentes (002)",198348,146313,151324,57865,15782,70912,17629,16296
"Casa independiente",,,,,,,,
"Hogares (004)",46168,33727,33753,12430,3353,15613,3684,4492
"Ocupantes presentes (005)",184110,137273,143072,55155,15048,68242,16975,13571
"Departamento en edificio",,,,,,,,
"Hogares (007)",394,269,337,174,87,178,107,29
"Ocupantes presentes (008)",1352,938,1182,614,372,666,412,92
"Vivienda en quinta",,,,,,,,
"Hogares (010)",456,306,342,142,39,131,17,59
"Ocupantes presentes (011)",1677,1163,1346,572,178,548,69,162
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (013)",300,189,211,67,12,64,12,40
"Ocupantes presentes (014)",1076,706,811,281,40,269,55,98
"Choza o cabaña",,,,,,,,
"Hogares (016)",738,473,139,36,4,35,2,229
"Ocupantes presentes (017)",2121,1455,586,163,19,167,9,500
"Vivienda improvisada",,,,,,,,
"Hogares (019)",1969,1123,929,224,24,208,19,542
"Ocupantes presentes (020)",7262,4327,3942,997,108,907,83,1685
"Local no dest.para hab. humana",,,,,,,,
"Hogares (022)",127,80,70,15,5,26,11,29
"Ocupantes presentes (023)",340,222,219,46,17,79,22,62
"Otro tipo",,,,,,,,
"Hogares (025)",108,56,40,8,,7,1,38
"Ocupantes presentes (026)",410,229,166,37,,34,4,126
,,,,,,,,
URBANA,,,,,,,,
"Hogares (028)",41801,30136,31379,11791,3373,14604,3682,4153
"Ocupantes presentes (029)",166965,123152,132919,52188,15208,63973,16899,12571
"Casa independiente",,,,,,,,
"Hogares (031)",38516,28149,29476,11169,3207,13994,3516,3437
"Ocupantes presentes (032)",155091,115711,125358,49671,14494,61484,16255,10399
"Departamento en edificio",,,,,,,,
"Hogares (034)",394,269,337,174,87,178,107,29
"Ocupantes presentes (035)",1352,938,1182,614,372,666,412,92
"Vivienda en quinta",,,,,,,,
"Hogares (037)",456,306,342,142,39,131,17,59
"Ocupantes presentes (038)",1677,1163,1346,572,178,548,69,162
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (040)",300,189,211,67,12,64,12,40
"Ocupantes presentes (041)",1076,706,811,281,40,269,55,98
"Choza o cabaña",,,,,,,,
"Vivienda improvisada",,,,,,,,
"Hogares (046)",1969,1123,929,224,24,208,19,542
"Ocupantes presentes (047)",7262,4327,3942,997,108,907,83,1685
"Local no dest.para hab. humana",,,,,,,,
"Hogares (049)",104,69,60,12,4,25,10,24
"Ocupantes presentes (050)",273,192,182,38,16,78,21,50
"Otro tipo",,,,,,,,
"Hogares (052)",62,31,24,3,,4,1,22
"Ocupantes presentes (053)",234,115,98,15,,21,4,85
,,,,,,,,
RURAL,,,,,,,,
"Hogares (055)",8459,6087,4442,1305,151,1658,171,1305
"Ocupantes presentes (056)",31383,23161,18405,5677,574,6939,730,3725
"Casa independiente",,,,,,,,
"Hogares (058)",7652,5578,4277,1261,146,1619,168,1055
"Ocupantes presentes (059)",29019,21562,17714,5484,554,6758,720,3172
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Choza o cabaña",,,,,,,,
"Hogares (070)",738,473,139,36,4,35,2,229
"Ocupantes presentes (071)",2121,1455,586,163,19,167,9,500
"Vivienda improvisada",,,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Hogares (076)",23,11,10,3,1,1,1,5
"Ocupantes presentes (077)",67,30,37,8,1,1,1,12
"Otro tipo",,,,,,,,
"Hogares (079)",46,25,16,5,,3,,16
"Ocupantes presentes (080)",176,114,68,22,,13,,41
