"CUADRO Nº 18: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE SERVICIO HIGIÉNICO QUE TIENE LA VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y TIPO DE SERVICIO HIGIÉNICO QUE TIENE LA VIVIENDA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia PACASMAYO (000)",23493,19709,3784
"Red pública de desague dentro de la vivienda (001)",9194,8897,297
"Red pública de desague fuera de la vivienda (002)",567,536,31
"Pozo séptico (003)",2629,2310,319
"Pozo ciego o negro / letrina (004)",7801,5882,1919
"Río, acequia o canal (005)",513,430,83
"No tiene (006)",2789,1654,1135
,,,
"URBANA (008)",21827,19035,2792
"Red pública de desague dentro de la vivienda (009)",9145,8862,283
"Red pública de desague fuera de la vivienda (010)",564,533,31
"Pozo séptico (011)",2524,2250,274
"Pozo ciego o negro / letrina (012)",6660,5406,1254
"Río, acequia o canal (013)",440,408,32
"No tiene (014)",2494,1576,918
,,,
"RURAL (016)",1666,674,992
"Red pública de desague dentro de la vivienda (017)",49,35,14
"Red pública de desague fuera de la vivienda (018)",3,3,
"Pozo séptico (019)",105,60,45
"Pozo ciego o negro / letrina (020)",1141,476,665
"Río, acequia o canal (021)",73,22,51
"No tiene (022)",295,78,217
