"CUADRO Nº 5: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
"Servicios sociales y de salud (040)",98,,23,36,36,3
"Otras activ. serv.comun.soc y personales (041)",582,8,193,235,120,26
"Hogares privados con servicio doméstico (042)",32,,20,8,3,1
"Actividad economica no especificada (044)",338,5,106,128,72,27
"Desocupado (045)",2220,33,1001,694,411,81
"Mujeres (046)",9233,115,3589,3555,1761,213
"Agric., ganadería, caza y silvicultura (047)",186,11,67,52,44,12
"Pesca (048)",189,3,82,76,27,1
"Explotación de minas y canteras (049)",1,,1,,,
"Industrias manufactureras (050)",1862,2,796,764,287,13
"Suministro de electricidad, gas y agua (051)",13,,4,9,,
"Construcción (052)",37,2,13,19,3,
"Comerc., rep. veh. autom.,motoc. efect. pers. (053)",2309,31,667,943,578,90
"Venta, mant.y rep. veh.autom.y motoc. (054)",37,1,22,9,5,
"Comercio al por mayor (055)",166,3,60,74,28,1
"Comercio al por menor (056)",2106,27,585,860,545,89
"Hoteles y restaurantes (057)",871,13,269,336,221,32
"Trans., almac. y comunicaciones (058)",204,1,116,70,15,2
"Intermediación financiera (059)",38,,20,12,6,
"Activid.inmobil., empres. y alquileres (060)",320,1,151,125,43,
"Admin.pub. y defensa; p. segur.soc afil (061)",401,,188,151,61,1
"Enseñanza (062)",731,,238,336,150,7
"Servicios sociales y de salud (063)",188,,53,100,34,1
"Otras activ. serv.comun.soc y personales (064)",295,6,113,113,53,10
"Hogares privados con servicio doméstico (065)",575,26,305,149,85,10
"Actividad economica no especificada (067)",488,7,180,162,107,32
"Desocupado (068)",525,12,326,138,47,2
,,,,,,
"URBANA (069)",35696,467,13520,12873,7584,1252
"Agric., ganadería, caza y silvicultura (070)",4486,74,1332,1280,1325,475
"Pesca (071)",5067,94,2182,1843,847,101
"Explotación de minas y canteras (072)",36,1,13,16,5,1
"Industrias manufactureras (073)",5937,41,2556,2283,980,77
"Suministro de electricidad, gas y agua (074)",93,1,27,37,27,1
"Construcción (075)",1505,9,492,590,381,33
"Comerc., rep. veh. autom.,motoc. efect. pers. (076)",4649,117,1460,1684,1182,206
"Venta, mant.y rep. veh.autom.y motoc. (077)",464,5,208,137,103,11
"Comercio al por mayor (078)",421,6,157,166,88,4
"Comercio al por menor (079)",3764,106,1095,1381,991,191
"Hoteles y restaurantes (080)",1156,25,386,408,298,39
"Trans., almac. y comunicaciones (081)",3809,10,1545,1469,724,61
"Intermediación financiera (082)",67,,32,22,13,
"Activid.inmobil., empres. y alquileres (083)",1515,4,591,580,304,36
"Admin.pub. y defensa; p. segur.soc afil (084)",1166,,388,474,283,21
"Enseñanza (085)",1066,1,295,480,279,11
"Servicios sociales y de salud (086)",286,,76,136,70,4
"Otras activ. serv.comun.soc y personales (087)",866,14,302,344,170,36
"Hogares privados con servicio doméstico (088)",590,26,311,154,88,11
"Actividad economica no especificada (090)",818,12,282,288,178,58
"Desocupado (091)",2584,38,1250,785,430,81
"Hombres (092)",26652,356,10013,9382,5860,1041
"Agric., ganadería, caza y silvicultura (093)",4330,65,1276,1238,1288,463
"Pesca (094)",4884,91,2103,1770,820,100
"Explotación de minas y canteras (095)",36,1,13,16,5,1
"Industrias manufactureras (096)",4113,39,1781,1531,697,65
"Suministro de electricidad, gas y agua (097)",80,1,23,28,27,1
"Construcción (098)",1469,7,479,572,378,33
"Comerc., rep. veh. autom.,motoc. efect. pers. (099)",2387,86,805,760,620,116
"Venta, mant.y rep. veh.autom.y motoc. (100)",428,4,187,128,98,11
"Comercio al por mayor (101)",259,3,97,95,61,3
"Comercio al por menor (102)",1700,79,521,537,461,102
"Hoteles y restaurantes (103)",291,12,117,75,79,8
"Trans., almac. y comunicaciones (104)",3607,9,1429,1401,709,59
"Intermediación financiera (105)",29,,12,10,7,
"Activid.inmobil., empres. y alquileres (106)",1202,3,445,456,262,36
"Admin.pub. y defensa; p. segur.soc afil (107)",769,,202,324,223,20
"Enseñanza (108)",353,1,61,152,135,4
"Servicios sociales y de salud (109)",98,,23,36,36,3
"Otras activ. serv.comun.soc y personales (110)",572,8,189,232,117,26
"Hogares privados con servicio doméstico (111)",32,,20,8,3,1
"Actividad economica no especificada (113)",331,5,103,126,71,26
"Desocupado (114)",2069,28,932,647,383,79
"Mujeres (115)",9044,111,3507,3491,1724,211
"Agric., ganadería, caza y silvicultura (116)",156,9,56,42,37,12
"Pesca (117)",183,3,79,73,27,1
"Industrias manufactureras (119)",1824,2,775,752,283,12
"Suministro de electricidad, gas y agua (120)",13,,4,9,,
"Construcción (121)",36,2,13,18,3,
"Comerc., rep. veh. autom.,motoc. efect. pers. (122)",2262,31,655,924,562,90
"Venta, mant.y rep. veh.autom.y motoc. (123)",36,1,21,9,5,
"Comercio al por mayor (124)",162,3,60,71,27,1
"Comercio al por menor (125)",2064,27,574,844,530,89
"Hoteles y restaurantes (126)",865,13,269,333,219,31
"Trans., almac. y comunicaciones (127)",202,1,116,68,15,2
"Intermediación financiera (128)",38,,20,12,6,
"Activid.inmobil., empres. y alquileres (129)",313,1,146,124,42,
"Admin.pub. y defensa; p. segur.soc afil (130)",397,,186,150,60,1
"Enseñanza (131)",713,,234,328,144,7
"Servicios sociales y de salud (132)",188,,53,100,34,1
"Otras activ. serv.comun.soc y personales (133)",294,6,113,112,53,10
"Hogares privados con servicio doméstico (134)",558,26,291,146,85,10
"Actividad economica no especificada (136)",487,7,179,162,107,32
"Desocupado (137)",515,10,318,138,47,2
,,,,,,
"RURAL (138)",1651,37,627,561,344,82
"Agric., ganadería, caza y silvicultura (139)",856,27,284,270,204,71
"Pesca (140)",50,1,29,15,5,
"Explotación de minas y canteras (141)",45,,8,20,16,1
"Industrias manufactureras (142)",143,,80,50,12,1
"Suministro de electricidad, gas y agua (143)",15,,1,6,7,1
"Construcción (144)",52,,20,26,5,1
"Comerc., rep. veh. autom.,motoc. efect. pers. (145)",117,2,36,46,32,1
"Venta, mant.y rep. veh.autom.y motoc. (146)",7,,4,2,1,
"Comercio al por mayor (147)",26,,8,9,9,
"Comercio al por menor (148)",84,2,24,35,22,1
"Hoteles y restaurantes (149)",11,,3,5,2,1
"Trans., almac. y comunicaciones (150)",71,,37,24,9,1
"Activid.inmobil., empres. y alquileres (152)",52,,23,23,5,1
"Admin.pub. y defensa; p. segur.soc afil (153)",18,,3,10,5,
"Enseñanza (154)",24,,4,10,10,
"Otras activ. serv.comun.soc y personales (156)",11,,4,4,3,
"Hogares privados con servicio doméstico (157)",17,,14,3,,
"Actividad economica no especificada (159)",8,,4,2,1,1
"Desocupado (160)",161,7,77,47,28,2
"Hombres (161)",1462,33,545,497,307,80
"Agric., ganadería, caza y silvicultura (162)",826,25,273,260,197,71
"Pesca (163)",44,1,26,12,5,
"Explotación de minas y canteras (164)",44,,7,20,16,1
"Industrias manufactureras (165)",105,,59,38,8,
"Suministro de electricidad, gas y agua (166)",15,,1,6,7,1
"Construcción (167)",51,,20,25,5,1
"Comerc., rep. veh. autom.,motoc. efect. pers. (168)",70,2,24,27,16,1
"Venta, mant.y rep. veh.autom.y motoc. (169)",6,,3,2,1,
"Comercio al por mayor (170)",22,,8,6,8,
"Comercio al por menor (171)",42,2,13,19,7,1
"Hoteles y restaurantes (172)",5,,3,2,,
"Trans., almac. y comunicaciones (173)",69,,37,22,9,1
"Activid.inmobil., empres. y alquileres (175)",45,,18,22,4,1
"Admin.pub. y defensa; p. segur.soc afil (176)",14,,1,9,4,
"Enseñanza (177)",6,,,2,4,
"Otras activ. serv.comun.soc y personales (179)",10,,4,3,3,
"Actividad economica no especificada (182)",7,,3,2,1,1
"Desocupado (183)",151,5,69,47,28,2
"Mujeres (184)",189,4,82,64,37,2
"Agric., ganadería, caza y silvicultura (185)",30,2,11,10,7,
"Pesca (186)",6,,3,3,,
"Explotación de minas y canteras (187)",1,,1,,,
"Industrias manufactureras (188)",38,,21,12,4,1
"Construcción (190)",1,,,1,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (191)",47,,12,19,16,
"Venta, mant.y rep. veh.autom.y motoc. (192)",1,,1,,,
"Comercio al por mayor (193)",4,,,3,1,
"Comercio al por menor (194)",42,,11,16,15,
"Hoteles y restaurantes (195)",6,,,3,2,1
"Trans., almac. y comunicaciones (196)",2,,,2,,
"Activid.inmobil., empres. y alquileres (198)",7,,5,1,1,
"Admin.pub. y defensa; p. segur.soc afil (199)",4,,2,1,1,
"Enseñanza (200)",18,,4,8,6,
"Otras activ. serv.comun.soc y personales (202)",1,,,1,,
"Hogares privados con servicio doméstico (203)",17,,14,3,,
"Actividad economica no especificada (205)",1,,1,,,
"Desocupado (206)",10,2,8,,,
