"CUADRO Nº 1: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 14 AÑOS","15 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia HUARMEY (000)",26251,1070,5832,4942,4323,3735,2457,1724,2168
"Quechua (001)",1695,19,108,162,252,221,246,227,460
"Aymara (002)",10,,1,1,2,3,1,,2
"Ashaninca (003)",2,,1,,1,,,,
"Otra lengua nativa (004)",7,,1,,1,2,2,1,
"Castellano (005)",24521,1051,5719,4776,4066,3505,2206,1496,1702
"Idioma extranjero (006)",2,,,1,,,,,1
"Es sordomudo/a (007)",14,,2,2,1,4,2,,3
"Hombres (009)",13651,564,3013,2566,2208,1953,1298,912,1137
"Quechua (010)",845,11,55,86,135,120,132,99,207
"Aymara (011)",7,,,1,2,2,1,,1
"Ashaninca (012)",1,,1,,,,,,
"Otra lengua nativa (013)",4,,1,,1,,1,1,
"Castellano (014)",12783,553,2955,2478,2069,1827,1163,812,926
"Idioma extranjero (015)",1,,,1,,,,,
"Es sordomudo/a (016)",10,,1,,1,4,1,,3
"Mujeres (018)",12600,506,2819,2376,2115,1782,1159,812,1031
"Quechua (019)",850,8,53,76,117,101,114,128,253
"Aymara (020)",3,,1,,,1,,,1
"Ashaninca (021)",1,,,,1,,,,
"Otra lengua nativa (022)",3,,,,,2,1,,
"Castellano (023)",11738,498,2764,2298,1997,1678,1043,684,776
"Idioma extranjero (024)",1,,,,,,,,1
"Es sordomudo/a (025)",4,,1,2,,,1,,
,,,,,,,,,
"URBANA (027)",19947,767,4385,3701,3278,2973,1869,1313,1661
"Quechua (028)",784,4,22,48,95,88,112,126,289
"Aymara (029)",7,,1,1,1,2,,,2
"Ashaninca (030)",2,,1,,1,,,,
"Otra lengua nativa (031)",4,,,,1,1,1,1,
"Castellano (032)",19139,763,4359,3650,3179,2881,1754,1186,1367
"Idioma extranjero (033)",2,,,1,,,,,1
"Es sordomudo/a (034)",9,,2,1,1,1,2,,2
"Hombres (036)",10166,387,2237,1878,1632,1535,965,672,860
"Quechua (037)",367,2,13,25,51,48,61,42,125
"Aymara (038)",4,,,1,1,1,,,1
"Ashaninca (039)",1,,1,,,,,,
"Otra lengua nativa (040)",2,,,,1,,,1,
"Castellano (041)",9785,385,2222,1851,1578,1485,903,629,732
"Idioma extranjero (042)",1,,,1,,,,,
"Es sordomudo/a (043)",6,,1,,1,1,1,,2
"Mujeres (045)",9781,380,2148,1823,1646,1438,904,641,801
"Quechua (046)",417,2,9,23,44,40,51,84,164
"Aymara (047)",3,,1,,,1,,,1
"Ashaninca (048)",1,,,,1,,,,
"Otra lengua nativa (049)",2,,,,,1,1,,
"Castellano (050)",9354,378,2137,1799,1601,1396,851,557,635
"Idioma extranjero (051)",1,,,,,,,,1
"Es sordomudo/a (052)",3,,1,1,,,1,,
,,,,,,,,,
"RURAL (054)",6304,303,1447,1241,1045,762,588,411,507
"Quechua (055)",911,15,86,114,157,133,134,101,171
"Aymara (056)",3,,,,1,1,1,,
"Otra lengua nativa (058)",3,,1,,,1,1,,
"Castellano (059)",5382,288,1360,1126,887,624,452,310,335
"Es sordomudo/a (061)",5,,,1,,3,,,1
"Hombres (063)",3485,177,776,688,576,418,333,240,277
"Quechua (064)",478,9,42,61,84,72,71,57,82
"Aymara (065)",3,,,,1,1,1,,
"Otra lengua nativa (067)",2,,1,,,,1,,
"Castellano (068)",2998,168,733,627,491,342,260,183,194
"Es sordomudo/a (070)",4,,,,,3,,,1
"Mujeres (072)",2819,126,671,553,469,344,255,171,230
"Quechua (073)",433,6,44,53,73,61,63,44,89
"Otra lengua nativa (076)",1,,,,,1,,,
"Castellano (077)",2384,120,627,499,396,282,192,127,141
"Es sordomudo/a (079)",1,,,1,,,,,
