"CUADRO Nº 4: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICION DE ACTIVIDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia CONDORCANQUI (000)",33353,12349,1665,450,18911
"Hombres (001)",16857,5911,882,407,9673
"Mujeres (002)",16496,6438,783,43,9238
"PEA (003)",10792,919,766,106,9011
"Hombres (004)",6388,399,506,90,5402
"Mujeres (005)",4404,520,260,16,3609
"Ocupada (006)",10367,881,756,103,8637
"Hombres (007)",6023,375,498,87,5072
"Mujeres (008)",4344,506,258,16,3565
"Desocupada (009)",425,38,10,3,374
"Hombres (010)",365,24,8,3,330
"Mujeres (011)",60,14,2,,44
"No PEA (012)",22561,11430,899,344,9900
"Hombres (013)",10469,5512,376,317,4271
"Mujeres (014)",12092,5918,523,27,5629
,,,,,
"URBANA (018)",5340,1736,828,208,2573
"Hombres (019)",2759,841,432,183,1307
"Mujeres (020)",2581,895,396,25,1266
"PEA (021)",1692,171,348,53,1124
"Hombres (022)",1077,88,218,44,730
"Mujeres (023)",615,83,130,9,394
"Ocupada (024)",1617,165,342,52,1062
"Hombres (025)",1016,83,214,43,679
"Mujeres (026)",601,82,128,9,383
"Desocupada (027)",75,6,6,1,62
"Hombres (028)",61,5,4,1,51
"Mujeres (029)",14,1,2,,11
"No PEA (030)",3648,1565,480,155,1449
"Hombres (031)",1682,753,214,139,577
"Mujeres (032)",1966,812,266,16,872
,,,,,
"RURAL (036)",28013,10613,837,242,16338
"Hombres (037)",14098,5070,450,224,8366
"Mujeres (038)",13915,5543,387,18,7972
"PEA (039)",9100,748,418,53,7887
"Hombres (040)",5311,311,288,46,4672
"Mujeres (041)",3789,437,130,7,3215
"Ocupada (042)",8750,716,414,51,7575
"Hombres (043)",5007,292,284,44,4393
"Mujeres (044)",3743,424,130,7,3182
"Desocupada (045)",350,32,4,2,312
"Hombres (046)",304,19,4,2,279
"Mujeres (047)",46,13,,,33
"No PEA (048)",18913,9865,419,189,8451
"Hombres (049)",8787,4759,162,178,3694
"Mujeres (050)",10126,5106,257,11,4757
