"CUADRO Nº 1: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia JUNIN (000)",27087,6393,7521,5453,4898,2822
"Hombres (001)",13041,3289,3646,2486,2330,1290
"Mujeres (002)",14046,3104,3875,2967,2568,1532
"PEA (003)",9907,83,2784,3263,2795,982
"Hombres (004)",6723,37,1924,2179,1909,674
"Mujeres (005)",3184,46,860,1084,886,308
"Ocupada (006)",9244,81,2455,3064,2680,964
"Hombres (007)",6221,37,1691,2022,1812,659
"Mujeres (008)",3023,44,764,1042,868,305
"Desocupada (009)",663,2,329,199,115,18
"Hombres (010)",502,,233,157,97,15
"Mujeres (011)",161,2,96,42,18,3
"No PEA (012)",17180,6310,4737,2190,2103,1840
"Hombres (013)",6318,3252,1722,307,421,616
"Mujeres (014)",10862,3058,3015,1883,1682,1224
,,,,,,
"URBANA (018)",19139,4570,5465,3936,3315,1853
"Hombres (019)",8993,2371,2582,1726,1512,802
"Mujeres (020)",10146,2199,2883,2210,1803,1051
"PEA (021)",6514,53,1903,2346,1796,416
"Hombres (022)",4129,19,1242,1460,1145,263
"Mujeres (023)",2385,34,661,886,651,153
"Ocupada (024)",5942,51,1627,2173,1690,401
"Hombres (025)",3701,19,1050,1326,1055,251
"Mujeres (026)",2241,32,577,847,635,150
"Desocupada (027)",572,2,276,173,106,15
"Hombres (028)",428,,192,134,90,12
"Mujeres (029)",144,2,84,39,16,3
"No PEA (030)",12625,4517,3562,1590,1519,1437
"Hombres (031)",4864,2352,1340,266,367,539
"Mujeres (032)",7761,2165,2222,1324,1152,898
,,,,,,
"RURAL (036)",7948,1823,2056,1517,1583,969
"Hombres (037)",4048,918,1064,760,818,488
"Mujeres (038)",3900,905,992,757,765,481
"PEA (039)",3393,30,881,917,999,566
"Hombres (040)",2594,18,682,719,764,411
"Mujeres (041)",799,12,199,198,235,155
"Ocupada (042)",3302,30,828,891,990,563
"Hombres (043)",2520,18,641,696,757,408
"Mujeres (044)",782,12,187,195,233,155
"Desocupada (045)",91,,53,26,9,3
"Hombres (046)",74,,41,23,7,3
"Mujeres (047)",17,,12,3,2,
"No PEA (048)",4555,1793,1175,600,584,403
"Hombres (049)",1454,900,382,41,54,77
"Mujeres (050)",3101,893,793,559,530,326
