"CUADRO Nº 36: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia LIMA (000)",120969,26405,94564
"De 14 a 29 años (001)",64778,21452,43326
"De 30 a 44 años (002)",32635,4134,28501
"De 45 a 64 años (003)",20421,819,19602
"De 65 y más años (004)",3135,,3135
"Hombres (005)",70053,13725,56328
"De 14 a 29 años (006)",35661,11469,24192
"De 30 a 44 años (007)",18070,1883,16187
"De 45 a 64 años (008)",13837,373,13464
"De 65 y más años (009)",2485,,2485
"Mujeres (010)",50916,12680,38236
"De 14 a 29 años (011)",29117,9983,19134
"De 30 a 44 años (012)",14565,2251,12314
"De 45 a 64 años (013)",6584,446,6138
"De 65 y más años (014)",650,,650
,,,
"AREA URBANA (015)",120863,26389,94474
"De 14 a 29 años (016)",64721,21439,43282
"De 30 a 44 años (017)",32607,4131,28476
"De 45 a 64 años (018)",20403,819,19584
"De 65 y más años (019)",3132,,3132
"Hombres (020)",69975,13715,56260
"De 14 a 29 años (021)",35620,11461,24159
"De 30 a 44 años (022)",18048,1881,16167
"De 45 a 64 años (023)",13824,373,13451
"De 65 y más años (024)",2483,,2483
"Mujeres (025)",50888,12674,38214
"De 14 a 29 años (026)",29101,9978,19123
"De 30 a 44 años (027)",14559,2250,12309
"De 45 a 64 años (028)",6579,446,6133
"De 65 y más años (029)",649,,649
,,,
"AREA RURAL (030)",106,16,90
"De 14 a 29 años (031)",57,13,44
"De 30 a 44 años (032)",28,3,25
"De 45 a 64 años (033)",18,,18
"De 65 y más años (034)",3,,3
"Hombres (035)",78,10,68
"De 14 a 29 años (036)",41,8,33
"De 30 a 44 años (037)",22,2,20
"De 45 a 64 años (038)",13,,13
"De 65 y más años (039)",2,,2
"Mujeres (040)",28,6,22
"De 14 a 29 años (041)",16,5,11
"De 30 a 44 años (042)",6,1,5
"De 45 a 64 años (043)",5,,5
"De 65 y más años (044)",1,,1
